,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1010,Y24,06 04 03,,"H6.1,H12",86.052,,DE,,R4,Slovakia,2016
1,A3140,Y6,08 01 11,,H3,105.315,,CZ,,R2,Slovakia,2016
2,A3020,,13 02 05,,H13,25.74,,AT,,R1,Slovakia,2016
3,A1160,"Y31,Y34",16 06 01,,H8,139.83,,HU,,R4,Slovakia,2016
4,,Y32,"10 03 08,10 03 09,10 10 99",,"H4.3,H12",216.685,,CZ,,R4,Slovakia,2016
5,,Y32,"10 03 09,10 03 15,10 10 99",,"H4.3,H12",236.335,,CZ,,R4,Slovakia,2016
6,,Y32,12 01 99,,H12,321.852,,CZ,,R4,Slovakia,2016
7,,Y32,17 04 09,,H12,224.965,,CZ,,R4,Slovakia,2016
8,,Y18,19 12 11,,"H6.1,H8,H11,H12",22.16,,IT,,R1,Slovakia,2016
9,,Y18,19 12 10,,,13831.808,,AT,,R1,Slovakia,2016
10,,Y18,19 12 10,,,2731.93,,IT,,R1,Slovakia,2016
11,,Y18,19 12 12,,,69.74,,IT,,R1,Slovakia,2016
12,,Y18,19 12 12,,,1452.77,,AT,,"R1,R12",Slovakia,2016
13,Y46,Y18,19 12 12,,,12829.04,,AT,,"R1,R12",Slovakia,2016
