,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1020,Y31,10 04 02*,lead dross,H6.1,746.46,"BE,DE,PT,TR",NL,,R4,Bulgaria,2017
1,A1020,Y31,10 04 05*,lead dust ,H12,456.5,RS,HR,,R4,Bulgaria,2017
2,A1020,Y31,10 04 01*,lead slag ,H12,534.0,,RS,,R4,Bulgaria,2017
3,A1020,Y31,10 04 01*,lead slag ,H12,920.0,,RO,,R4,Bulgaria,2017
4,A1020,Y31,19 12 11*,lead paste,H12,1900.0,,RO,,R4,Bulgaria,2017
5,A1080,Y23,10 05 10*,zinc dust ,H4.3,37.0,"BE,GR,PT,TR",NL,,R4,Bulgaria,2017
6,A1160,Y31,16 06 01*,spent lead-acid baterries,H8,72.0,,RS,,R4,Bulgaria,2017
7,A1160,Y31,16 06 01*,spent lead-acid batteries,H8,3738.0,GR,IT,,R4,Bulgaria,2017
8,A1160,Y31,16 06 01*,spent lead-acid batteries,H8,974.0,,MK,,R4,Bulgaria,2017
9,A1160,Y31,16 06 01*,spent lead-acid batteries,H8,21348.0,,RO,,R4,Bulgaria,2017
10,A1160,Y31,16 06 01*,spent lead-acid batteries,H8,46.0,"HR,RS,SI",AT,,R4,Bulgaria,2017
11,A3020,Y6,13 01 10*,waste mineral oils,H3,1191.0,"AT,BE,FR,DE,HU,RO",GB,,R9,Bulgaria,2017
12,A3020,Y8,13 01 13*,waste mineral oils,H3,1654.0,,RO,,R9,Bulgaria,2017
13,A3020,Y8,13 02 05*,waste mineral oils,H3,255.3,RS,ME,,R9,Bulgaria,2017
14,A3020,Y8,13 02 05*,waste mineral oils,H3,196.0,"AT,HR,RS,SI",CH,,R9,Bulgaria,2017
15,A3020,Y8,19 02 07*,waste mineral oils,H3,49.0,,RS,,R9,Bulgaria,2017
16,A3020,Y8,13 02 05*,waste mineral oils,H3,715.0,,MK,,R9,Bulgaria,2017
17,A4100,Y23,10 02 07*,steel dust,H12,8039.4,"BE,GR,PT,TR",NL,,R4,Bulgaria,2017
18,A4100,Y23,10 02 07*,steel dust ,H12,10734.0,,GR,,R4,Bulgaria,2017
19,A4100,Y23,10 02 07*,steel dust ,H12,10008.0,"BE,NL,SE",FI,,R4,Bulgaria,2017
20,A4100,Y23,10 02 07*,steel dust ,H12,3189.0,"GR,PT,TR",ES,,R4,Bulgaria,2017
21,A4110,Y23,10 02 07*,steel dust,H12,1963.0,,IL,,R4,Bulgaria,2017
22,A4110,Y23,10 10 09*,zinc slag ,H12,58.0,,RS,,R4,Bulgaria,2017
23,A4060,Y9,16 06 08*,waste containing oils,H12,3583.0,,GR,,R9,Bulgaria,2017
24,A4090,Y34,11 01 05*,waste acids,H8,61.0,,RS,,R5,Bulgaria,2017
25,Y46,,19 12 04,mixed contaminated plastics,,5024.0,"CZ,HU,RO,SK",DE,,R1,Bulgaria,2017
26,Y46,,19 12 10,RDF,,27868.0,,IT,,R1,Bulgaria,2017
27,Y46,,19 12 12,pretreated mixed waste,,3036.0,,IT,,R1,Bulgaria,2017
28,Y46,,19 12 12 ,pretreated mixed waste ,,8055.0,,IT,,R3,Bulgaria,2017
29,Y46,,19 12 10 ,SRF,,15023.0,,GB,,R1,Bulgaria,2017
30,,Y_,19 12 10,RDF,,12806.5,,GB,,R1,Bulgaria,2017
31,,Y_,19 12 10 ,RDF,,5926.0,,GB,,R1,Bulgaria,2017
