,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y18,"02 01 07, 03 01 05, 15 01 03, 17 02 01, 19 12 07, 20 01 38",,,5012.31,-,AT,,R3,Hungary,2017
1,,Y42,07 05 04*,,H3,293.7,-,HR,,R2,Hungary,2017
2,,Y42,14 06 03*,,"H3,H4.2,H12",20.536,-,SK,,R2,Hungary,2017
3,,Y45,"16 02 11*, 20 01 23*",,H13,1136.275,-,RO,,R12,Hungary,2017
4,,Y5,"17 02 01, 19 12 07",,"H11,H13",563.08,-,AT,,R3,Hungary,2017
5,,Y1,18 01 03*,,H6.2,29.74,-,SI,,R1,Hungary,2017
6,,Y18,19 02 04*,,"H12,H3,H6.1",256.82,SI,IT,,R1,Hungary,2017
7,,Y42,19 02 08*,,"H3,H13",347.8,-,AT,,R1,Hungary,2017
8,,"Y42,Y18",19 02 08*,,"H3,H11,H12",1028.36,-,SI,,R1,Hungary,2017
9,,Y18,19 02 09*,,"H4.1,H12",687.18,-,SI,,R1,Hungary,2017
10,,Y18,19 08 12,,,2713.67,-,SI,,R3,Hungary,2017
11,,Y18,19 12 10,,,5340.7,-,AT,,R1,Hungary,2017
12,,Y29,20 01 21*,,H12,20.403,-,RO,,"R12,R4,R5",Hungary,2017
13,,Y29,20 01 21*,,H12,59.383,-,RO,,"R4,R5",Hungary,2017
