,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,"H11,H12",34.235,,PH,,R4,Japan,2017
1,A1050,"Y22,Y31",,sludge,"H11,H12",0.108,,PH,,R4,Japan,2017
2,A1050,Y17,,sludge,H11,3.9831, ,PH,,R4,Japan,2017
3,A4050,Y17,,scrap containing precious metal bearing ,H11,0.89886, ,PH,,R4,Japan,2017
4,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,47.535,,SG,,R4,Japan,2017
5,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,H11,8.78,,PH,,R4,Japan,2017
6,A1170,Y26,,unsorted waste batteries,H11,42.919,,CN,,R4,Japan,2017
7,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,H11,75.64,,TH,,R4,Japan,2017
8,,Y22,,copper dust,H13,35.558,,ID,,R4,Japan,2017
9,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,49.7354,,PH,,R4,Japan,2017
10,A1180,"Y27,Y31",,waste electrical and electronic assemblies or scrap,H4.1,0.743,,TH,,R4,Japan,2017
11,A1180,"Y22,Y27,Y31",,waste electrical and electronic assemblies or scrap,H4.1,24.8352,,BR,,R4,Japan,2017
12,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,H11,0.938,,SG,,R4,Japan,2017
13,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,H11,138.99465,,PA,,R4,Japan,2017
14,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,123.9956,,PH,,R4,Japan,2017
15,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,43.951,,PH,,R4,Japan,2017
16,A1050,Y17,,sludge,H11,28.048,,MY,,R4,Japan,2017
17,A1180,"Y22,Y31",,waste electrical and electronic assemblies or scrap,H11,46.128,,PE,,R4,Japan,2017
18,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,20.89,,LT,,R4,Japan,2017
19,A1050,Y17,,sludge,H11,65.626,,TH,,R4,Japan,2017
20,A1180,Y31,,waste electrical and electronic assemblies or scrap,H11,0.0793,,TH,,R4,Japan,2017
