,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,"A4110,Y47",,190107,,,154.35,,SE,,R5,Norway,2017
1,"A4110,Y47",,190107,,,23.22,,IE,,R5,Norway,2017
2,"A4110,Y47",,100116,,,224.55,,SE,,R5,Norway,2017
3,"A4110,Y47",,190107,,,752.95,,SE,,R5,Norway,2017
4,"A4110,Y47",,190113,,,3876.31,,SE,,R5,Norway,2017
5,A4100,Y18,100104,,,100.7,,DK,,R5,Norway,2017
6,A4100,Y18,100118,,,1711.24,,DK,,R5,Norway,2017
7,A4100,Y18,101115,,,1010.7,,DK,,R5,Norway,2017
8,A4100,Y18,190105,,,828.36,,DK,,R5,Norway,2017
9,A4100,Y18,190107,,,598.56,,DK,,R5,Norway,2017
10,A4100,Y18,190113,,,16678.79,,DK,,R5,Norway,2017
11,A4100,Y18,190113,,,569.91,,DK,,R5,Norway,2017
12,A4100,Y18,190111,,,753.6,,SE,,R5,Norway,2017
13,A4100,Y18,190113,,,52.74,,SE,,R5,Norway,2017
14,A4100,Y18,190113,,,31264.03,,DK,,R5,Norway,2017
15,A4100,Y18,190113,,,4367.27,,DK,D9,,Norway,2017
16,A4100,Y18,100102,,,184.6,,DK,,R5,Norway,2017
17,A4100,Y18,100105,,,367.92,,DK,,R5,Norway,2017
18,A4100,Y18,190105,,,7427.15,,DK,,R5,Norway,2017
19,A4070,Y12,70307,,,1230.56,,SE,D10,,Norway,2017
20,A4070,Y12,70307,,,417.36,,SE,D10,,Norway,2017
21,A4070,Y12,80111,,,95.22,SE,FI,,R1,Norway,2017
22,A4060,Y8,130205,,,2500.87,,SE,,R1,Norway,2017
23,A4030,,190812,,,15877.26,,DK,D12,,Norway,2017
24,A3180,Y10,130301,,,605.86,,SE,D10,,Norway,2017
25,A3120,,191004,,,35.04,,SE,,R1,Norway,2017
26,A3020,Y9,130701,,,758.68,,SE,,R1,Norway,2017
27,A3020,Y8,130206,,,2682.983,,IS,,R1,Norway,2017
28,A2030,Y18,60315,,,71.32,,DK,D9,,Norway,2017
29,A2030,Y18,60315,,,80.77,,DK,D9,,Norway,2017
30,A1190,,170410,,,244.46,,SE,,R4,Norway,2017
31,A1060,Y34,110105,,,211.8,,SE,D9,,Norway,2017
32,A1020,Y31,100401,,,982.78,,GR,D5,,Norway,2017
33,A1020,Y31,100401,,,4675.64,NL,GB,,R11,Norway,2017
34,A1020,Y31,100401,,,2813.03,,GR,D5,,Norway,2017
35,A1020,Y31,100401,,,855.96,NL,GB,,R11,Norway,2017
36,A1010,,100909,,,34.62,,DK,D9,,Norway,2017
37,,Y8,130205,,,3931.88,,SE,,R1,Norway,2017
38,Y47,,190113,,,1788.2,,DK,,R5,Norway,2017
39,Y47,,190113,,,10008.79,,LT,,R5,Norway,2017
40,Y47,,100116,,,468.52,,SE,,R5,Norway,2017
41,Y47,,100118,,,706.26,,SE,,R5,Norway,2017
42,Y47,,190105,,,588.88,,SE,,R5,Norway,2017
43,Y47,,190107,,,378.71,,SE,,R5,Norway,2017
44,Y47,,190113,,,40217.48,,SE,,R5,Norway,2017
45,Y47,,190113,,,3529.15,,SE,,R5,Norway,2017
46,Y47,,190113,,,40218.75,,SE,,R5,Norway,2017
47,Y47,,190113,,,4096.94,,DK,,R5,Norway,2017
48,Y47,,190113,,,1285.8,,IS,,R5,Norway,2017
49,Y47,,190113,,,13695.42,,SE,,R5,Norway,2017
50,Y47,,13,,,1872.2,,SE,,R5,Norway,2017
51,Y47,,190113,,,36627.94,,SE,,R5,Norway,2017
52,Y46,,191210,,,151334.19,,GB,,R1,Norway,2017
53,Y46,,191210,,,21777.0,DE,GB,,R1,Norway,2017
54,,Y34,60106,,,88.55,,SE,D9,,Norway,2017
55,,Y31,100401,,,17084.68,,SE,D12,,Norway,2017
56,,Y24,101115,,,74.73,,DK,,R5,Norway,2017
57,,Y23,160605,,,235.6,,SE,D9,,Norway,2017
58,,Y18,100121,,,959.0,,DK,,R11,Norway,2017
