,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y_,"150110,150202",,,6.32,"ES,GB",IE,,"R12,R1",Portugal,2017
1,,Y_,150202,,,7.79,TR,GR,"D9,D1",,Portugal,2017
2,,Y_,"150202,160107",,,23.87,"BE,DE,ES,GB,NL,TR",GR,,"R12,R1",Portugal,2017
3,,Y_,160107,,,18.02,TR,GR,,R4,Portugal,2017
4,,Y_,"160303,160305,160508",,,23.96,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
5,,Y_,"161102,161104,161106",,,32.8,"BE,DE,ES,GB,TR",GR,"D9,D1",,Portugal,2017
6,,Y_,191204,,,7463.678,,DE,,R5,Portugal,2017
7,,Y_,191210,,,17453.28,"ES,IE",GB,,R1,Portugal,2017
8,,Y_,191210,,,8716.76,IE,GB,,R1,Portugal,2017
9,,Y_,191212,,,8489.82,,IT,D1,,Portugal,2017
10,,Y_,191212,,,1033.82,,NL,,R1,Portugal,2017
11,,Y_,191212,,,8772.96,"ES,FR",IT,D1,,Portugal,2017
12,,Y_,191212,,,9010.73,"ES,FR,GB",IT,,"R12,R1",Portugal,2017
13,,"Y1,Y2",180109,,,82.22,"ES,IT",IL,,"R12,R1",Portugal,2017
14,,"Y11,Y18","070110,070111",,,887.44,"ES,IT",IL,,"R12,R1",Portugal,2017
15,,Y12,"080111,080112,080113,080114,080115,080117,080118,080119,080121,080312,080313,080314,080409,200127,200128",,,64.22,"ES,FR,IT",HR,"D9,D1",,Portugal,2017
16,,Y12,"080111,080112,080115,080120",,,986.5,"ES,IT",IL,,"R12,R1",Portugal,2017
17,,Y17,080201,,,13.65,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
18,,Y17,"190205,190211",,,86.57,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
19,,Y18,190204,,,7579.9,"ES,FR",IT,"D9,D1",,Portugal,2017
20,,Y18,190204,,,5197.62,"ES,FR",IT,"D9,D1",,Portugal,2017
21,,Y18,191210,,,8167.42,,IT,,"R12,R1",Portugal,2017
22,,Y18,191210,,,13072.22,"ES,FR,GB",IT,,"R12,R1",Portugal,2017
23,,Y18,191301,,,22810.04,,IT,"D9,D1",,Portugal,2017
24,,"Y2,Y18",061302,,,61.74,"ES,IT",IL,,"R12,R1",Portugal,2017
25,Y46,,191210,,,29495.57,,GB,,R1,Portugal,2017
26,Y46,,191210,,,2889.02,"FR,NL",GB,,R1,Portugal,2017
27,Y46,,191212,,,2909.31,,GB,,"R12,R1",Portugal,2017
28,Y46,,191212,,,25.44,,MT,,"R12,R1",Portugal,2017
29,,Y6,140603,,,115.12,,ES,,R2,Portugal,2017
30,,"Y8,Y12","150202,160107",,,68.29,"BE,DE,ES,FR,GB,NL,TR",GR,,"R1,R4",Portugal,2017
31,,"Y8,Y12","150202,160107",,,59.42,"BE,DE,ES,NL,TR",GR,,"R12,R1",Portugal,2017
32,,Y_,160113,,,3.89,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
33,,Y18,190205,,,1087.86,"ES,FR,GB",IT,"D9,D1",,Portugal,2017
34,,Y16,"090101,090102,090103,090104,090105,090106,090113",,,25.17,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
35,A1020,Y_,191211,,,3645.42,,FR,,R4,Portugal,2017
36,A1020,Y31,191211,,,3900.48,,GB,,R4,Portugal,2017
37,A1060,Y17,"060106,110105",,,30.78,"ES,GB",IE,"D9,D1",,Portugal,2017
38,A1060,"Y17,Y34","110111,110113,110115,110198",,,8.72,"BE,DE,ES,GB,NL,TR",GR,"D9,D1",,Portugal,2017
39,A1160,"Y31,Y34",160601,,,22.22,,ES,,R4,Portugal,2017
40,A1160,"Y31,Y34",160601,,,933.963,ES,IE,,R4,Portugal,2017
41,A1160,"Y31,Y34",160601,,,422.07,"ES,GB",IE,,R4,Portugal,2017
42,A2050,Y_,"170601,170605",,,129.96,"BE,DE,ES,GB,NL,TR",GR,D1,,Portugal,2017
