,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1050,Y17,,Galvenic Sludge,H11,0.5498,,TH,,R4,Singapore,2017
1,,"Y22,Y31",,Ion Exchange Resin,H11,0.0612,,TH,,R4,Singapore,2017
2,A1180,Y17,,"Lead Solder (Dross, Bar, Ingot and Paste)",H11,21.1245,,TH,,R4,Singapore,2017
3,A1180,"Y22,Y23,Y29",,Mix Electronic Scrap,H13,345.27, ,BR,,R4,Singapore,2017
4,B1110,"Y22,Y23,Y26,Y29,Y31",,Scrap Computer,H12,153.43,,TT,,R4,Singapore,2017
5,A1180,Y17,,Printed Circuit Board Laminate Scrap With Solder,H11,3.807,,TH,,R4,Singapore,2017
6,A1180,,,Lithium Ion (Rechargeable) Batteries,H13,0.98,,MY,,R4,Singapore,2017
7,B1110,Y22,,"General E-Waste, Waste Lithium Ion Batteries & Waste Circuit Boards",H13,3135.4,,CN,,R4,Singapore,2017
8,A1180,,,Electronic and Electrical Waste & Printed Circuit Boards,H11,21.19,,LK,,R4,Singapore,2017
9,A1180,,,"Electrical & Electronic Equipment, Parts & Accessories (i.e. Computer & Mobile Phones) and Lithium Batteries",H13,16.6,,LK,,R4,Singapore,2017
10,A1180,Y18,,"Used Computers (CPU, Laptop/Notebook, Lithium Batteries), Used Mobile Phone (Mobile Phone Units, Lithium Ion batteries, Adapters/Charger, Mobile Phone Parts, Accessories) and Telecommunication Equipment (BTS Modules, Power Supplies Boards)",H13,421.419,,ID,,R4,Singapore,2017
11,A1180,,,"Electrical and Electronic Equipment, Parts & Assemblies (e.g. Computer & Mobile Phone) and Li-Ion Batteries",H13,317.63,,TH,,R4,Singapore,2017
12,A1180,Y18,,"E-Wastes (PCB and PCB Trimmings, Electronic Items, Components and Accessories, Lithium Ion Batteries)",H13,54.71,,IN,,R4,Singapore,2017
13,A1170,"Y22,Y23,Y26",,"Electrical & Electronic Equipment, Parts & Accessories (i.e Computer & Mobile Phones) & Lithium ion batteries",H13,37.93,,VN,,R4,Singapore,2017
14,,Y18,,"Used Electrical and Electronics Equipment , Parts & Accessories (i.e computer & Mobile phones, Lithium Ions Batteries)",H13,124.02,,PH,,R4,Singapore,2017
15,A1180,Y18,,"Used Electrical & Electronics Equipment Parts & Accessories (i.e. Computers, Mobile phones, Printers' Cartridges, Lithium-Ion Batteries)",H13,23.37,,KH,,R8,Singapore,2017
16,A1180,Y31,,"Electrical and Electronic Equipment, Parts and Accessories (e.g. Computer & Mobile Phones, Lithium-Ion Batteries)",H11,286.66,,JP,,R4,Singapore,2017
17,A1180,,,"PC and Related Parts & Accessories , Mobile Phones & Related Parts & Accessories",H13,5.54,,KR,,R4,Singapore,2017
18,A1180,"Y22,Y23,Y31,Y45",,"Waste Electrical and Electronic Equipment and Assemblies (including Circuit Boards, Components and Wires)","H12,H13",168.61,MY,NZ,,R4,Singapore,2017
19,,Y18,,Used Toner Ink Cartridges,H13,58.5,,PH,,R4,Singapore,2017
20,A4070,,,Toner Cartridge,H13,21.28,,KR,,R4,Singapore,2017
21,,Y42,,"Waste Stripper (2-Amino Ethanol, Glycol Ether and Water)",H8,470.0,,CN,,R2,Singapore,2017
