,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1160,Y31,16 06 01,Lead; lead compounds,"H8,H12",996.884,HR,RS,,R4,Slovenia,2017
1,A1160,Y31,16 06 01,Lead; lead compounds,H12,280.671,,HR,,R4,Slovenia,2017
2,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H11",577.84,"DE,AT",FR,,R4,Slovenia,2017
3,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8",348.62,,AT,,R4,Slovenia,2017
4,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H10",230.46,,IT,,R4,Slovenia,2017
5,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H11",2013.502,,AT,,R4,Slovenia,2017
6,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,H8,525.76,AT,DE,,R4,Slovenia,2017
7,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H10",6737.974,,IT,,R4,Slovenia,2017
8,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",2295.576,,HR,,R4,Slovenia,2017
9,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",223.02,,HU,,R4,Slovenia,2017
10,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",3711.456,,IT,,R4,Slovenia,2017
11,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",1861.88,AT,DE,,R4,Slovenia,2017
12,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",1224.65,AT,IT,,R4,Slovenia,2017
13,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",357.372,"BA,HR",ME,,R4,Slovenia,2017
14,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",385.986,"CZ,HU,SK",PL,,R4,Slovenia,2017
15,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",342.55,"DE,AT",NL,,R4,Slovenia,2017
16,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",138.86,"DE,AT,DK",SE,,R4,Slovenia,2017
17,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",3328.454,HR,BA,,R4,Slovenia,2017
18,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",322.513,"HR,BA",ME,,R4,Slovenia,2017
19,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H11",46.8,"DE,AT",FR,,R4,Slovenia,2017
20,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H12",91.0,,HR,,R4,Slovenia,2017
21,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H6.1,H8,H12",328.34,,IT,,R4,Slovenia,2017
22,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H11,H12",2992.546,,HU,,R4,Slovenia,2017
23,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",706.319,,HR,,R4,Slovenia,2017
24,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",955.786,,HU,,R4,Slovenia,2017
25,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",494.16,,HU,,R4,Slovenia,2017
26,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",227.72,,IT,,R4,Slovenia,2017
27,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12",1721.942,HR,RS,,R4,Slovenia,2017
28,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H12,H6.1",69.12,,IT,,R4,Slovenia,2017
29,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H6.1",96.66,,HU,,R4,Slovenia,2017
30,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H6.1",429.525,AT,DE,,R4,Slovenia,2017
31,A1160,"Y31,Y34",16 06 01,Lead; lead compounds + Acidic solutions or acids in solid form,"H8,H6.1,H11",48.56,IT,FR,,R4,Slovenia,2017
32,A1060,Y34,11 01 05,Acidic solutions or acids in solid form,H8,470.74,,HR,D9,,Slovenia,2017
