,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y36,ZA,Asbestos Material,H6.1,1000.0,,BW,D5,,South Africa,2017
1,,Y16,ZA,Used X-Ray Fixer,H5.1,0.35,,SZ,,R2,South Africa,2017
2,,Y9,ZA,Used Grease,H6.1,500.0,,BW,,R9,South Africa,2017
3,,Y9,ZA,Used oil sludge,H6.1,500.0,,BW,,R9,South Africa,2017
4,,Y36,ZA,Used fiber glass contaminated with asbestos,H6.1,600.0,,BW,D5,,South Africa,2017
5,,Y3,ZA,Redundant Pharmaceuticals,H11,10.0,,SZ,D10,,South Africa,2017
6,,Y36,ZA,Asbestos Material,H6.1,500.0,,SZ,D5,,South Africa,2017
7,,Y9,ZA,Used Grease,H3,200.0,,SZ,,R9,South Africa,2017
8,,Y29,ZA,Mercury and Fluorescent tubes,H8,100.0,,SZ,,R5,South Africa,2017
9,,Y12,ZA,Paint Products,H3,100.0,,SZ,D5,,South Africa,2017
10,,Y9,ZA,Used oil,H3,1000.0,,SZ,,R9,South Africa,2017
11,,Y9,ZA,Oil Contaminated waste,H3,300.0,,SZ,D5,,South Africa,2017
12,,Y6,ZA,Redundant chemicals,H3,1000.0,,SZ,D5,,South Africa,2017
13,,Y9,ZA,Grease Contaminated,H3,100.0,,SZ,D5,,South Africa,2017
14,,Y9,ZA,Used oil,H3,30.24,,LS,,R9,South Africa,2017
15,,Y31,ZA,"Scrap lead acid batteries, battery plates,lead dross and solid lead pieces",H8,3000.0,,BW,,R4,South Africa,2017
16,,Y31,ZA,"Scrap lead acid batteries, battery plates,lead dross and solid lead pieces",H8,840.0,,BW,,R4,South Africa,2017
17,,Y31,ZA,Scrap  Lead acid batteries,H8,240.0,,MZ,,R4,South Africa,2017
18,,Y9,ZA,Used grease,H12,180.0,,LS,D5,R5,South Africa,2017
19,,Y12,ZA,Electronic and electrical waste,H6.1,100.0,,GA,,R4,South Africa,2017
20,,Y31,ZA,BatteryCompose of Polyprop acid lead,H8,100.0,,,,R4,South Africa,2017
21,,Y9,ZA,Used oil,H12,180.0,,LS,D5,R9,South Africa,2017
22,,Y8,ZA,Used oil,H3,2400.0,"ZW,SZ",MZ,,R9,South Africa,2017
23,,Y31,ZA,Scrap Batteries,H8,1000.0,,,,R4,South Africa,2017
24,,Y31,ZA,Used lead acid batteries,H12,750.0,,BW,,R4,South Africa,2017
25,,"Y31,Y34",ZA,Scrap lead acid batteries,"H8,H11",100.0,,LS,,R4,South Africa,2017
26,,Y31,ZA,Used lead acid batteries,H12,750.0,,SZ,,R4,South Africa,2017
27,,Y29,ZA,Crushed lamps,H11,400.0,,BW,,R4,South Africa,2017
28,,Y31,ZA,Used lead acid batteries,H12,750.0,,LS,,R4,South Africa,2017
29,,Y31,ZA,Used lead acid batteries,H12,1200.0,BW,,,R4,South Africa,2017
30,,Y29,ZA,Spent fluorescent tubes,H13,100.0,,SZ,,R5,South Africa,2017
31,,Y31,ZA,"Scrap lead acid batteries, battery plates,lead dross and solid lead pieces","H8,H11",720.0,,BW,,R4,South Africa,2017
32,,Y9,ZA,Used oil,H3,6.0,,LS,,R3,South Africa,2017
33,,Y31,ZA,Scrap and claim batteries,H8,7000.0,,BW,,R4,South Africa,2017
34,,Y9,ZA,Used oil,H3,480.0,,SZ,,R9,South Africa,2017
35,,Y14,ZA,Guanidine Thiocyanate,H6.1,2.0,,MZ,D10,,South Africa,2017
36,,Y9,ZA,Used oil,H3,1200.0,,BW,D13,R9,South Africa,2017
37,,Y9,ZA,Used oil,H12,360.0,,LS,,R9,South Africa,2017
38,A1180,,ZA,Electronic and electrical waste,H11,240.0,,BW,,R4,South Africa,2017
39,,Y31,ZA,Used lead acid batteries,"H8,H11",88.0,,,,R4,South Africa,2017
40,,Y36,ZA,Asbestos contaminated Material,H6.1,1200.0,,BW,D5,,South Africa,2017
41,,Y9,ZA,Fusel Oil,H3,500.0,,SZ,,R9,South Africa,2017
42,,Y4,ZA,Pesticides,H6.1,131.0,BW,ZM,D10,,South Africa,2017
43,,Y31,ZA,"Scrap lead acid batteries, battery plates and lead dross ",H8,300.0,,BW,,R4,South Africa,2017
44,,Y36,ZA,Asbestos Material,H6.1,20.0,,BW,D5,,South Africa,2017
45,,Y36,ZA,Asbestos Material,H6.1,60.0,,BW,D5,,South Africa,2017
46,,Y31,ZA,Scrap Batteries,"H8,H11",600.0,,BW,,R4,South Africa,2017
47,,Y31,ZA,"Scrap lead acid batteries, battery plates,lead dross and solid lead pieces",H12,720.0,,BW,,R4,South Africa,2017
