,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y_,16 06 97,Lithium batteries / lithium accumulators,,12.855,,FR,,R4,Switzerland,2017
1,,Y_,06 13 02,Spent activated carbon (except 06 07 02),,36.56,,FR,D10,,Switzerland,2017
2,,Y_,16 08 07,Spent catalysts contaminated with dangerous substances,,11.852, ,IT,,R8,Switzerland,2017
3,,Y_,16 08 07,Spent catalysts contaminated with dangerous substances,,5889.112, ,AL,,R8,Switzerland,2017
4,,Y12,, ,,815.3,,IT,,R1,Switzerland,2017
5,,Y17,,,H13,47.91,,FR,D9,,Switzerland,2017
6,,Y17,,,H8,151.6,,DE,D9,,Switzerland,2017
7,,Y18,,,H11,21.28,,IT,,R1,Switzerland,2017
8,,Y18,,,H12,6.64,,AT,,R1,Switzerland,2017
9,,Y18,,,H12,416.01,,DE,,R1,Switzerland,2017
10,,Y18,,,H13,769.32,,AT,,R1,Switzerland,2017
11,,Y18,,,H3,671.11,,IT,,R1,Switzerland,2017
12,,Y18,,,H4.1,986.46,,FR,D10,,Switzerland,2017
13,,Y18,,,H4.1,10.0,,IT,D10,,Switzerland,2017
14,,Y18,,,H4.1,2111.58,,IT,,R1,Switzerland,2017
15,,Y18,,,H6.1,3299.18,,IT,D10,,Switzerland,2017
16,,Y18,,,H6.1,13784.42,,IT,,R1,Switzerland,2017
17,,Y18,,,,175.48,,DE,,R1,Switzerland,2017
18,,Y18,,,,94.08,,BE,,R7,Switzerland,2017
19,,Y22,,,H4.2,44.809,,TH,,R4,Switzerland,2017
20,,Y29,,,H4.2,114.475,,FR,,R7,Switzerland,2017
21,,Y29,,,H6.1,201.457,,FR,D9,,Switzerland,2017
22,,Y29,,,H6.1,62.33,,FR,,R4,Switzerland,2017
23,,Y29,,,H6.1,164.087,,DE,D9,,Switzerland,2017
24,,Y29,,,,18.361,,FR,,R4,Switzerland,2017
25,,Y29,,,,108.949,,ES,D9,,Switzerland,2017
26,,Y31,,,H4.1,66.342,,NL,,R4,Switzerland,2017
27,,Y42,,,H3,436.06,,IT,,R1,Switzerland,2017
28,,Y5,,,H11,0.8,,FR,,R1,Switzerland,2017
29,,Y6,,,H12,885.54,,DE,,R1,Switzerland,2017
30,,Y6,,,H3,9.7,,DE,,R1,Switzerland,2017
31,,Y8,,,H12,551.9,,AT,,R1,Switzerland,2017
32,,Y8,,,H3,22.63,,FR,D9,,Switzerland,2017
33,,Y8,,,H3,2665.58,,DE,,R1,Switzerland,2017
34,,Y8,,,,163.8,,DE,,R1,Switzerland,2017
35,,Y9,,,,116.85,,DE,D9,,Switzerland,2017
36,,Y9,,,,1413.38,,DE,,R1,Switzerland,2017
