,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,"Y6,Y45",19 02 11*,"Unclassified; wastewater, liquid waste and solid waste fractions","H3,H11,H12",1.0,,RU,D10,,Finland,2018
1,A3020,Y8,"13 02 05*, 13 02 08*",Waste oil,,5521.0,,NL,,R9,Finland,2018
2,A3020,Y8,"13 01 09*, 13 01 10*, 13 01 11*, 13 01 12*, 13 01 13*, 13 02 04*, 13 02 05*, 13 02 06*, 13 02 07*, 13 02 08*, 13 03 01*, 13 03 06*, 13 03 07*, 13 03 08*, 13 03 09*, 13 03 10*, 13 08 99*",Waste oil,"H11,H12",46.66,EE,LV,,R9,Finland,2018
3,A3020,Y8,"13 01 09*, 13 01 10*, 13 01 11*, 13 01 12*, 13 01 13*, 13 02 04*, 13 02 05*, 13 02 06, 13 02 07*, 13 02 08*",Waste oil,"H11,H12",188.9,EE,LV,,R9,Finland,2018
4,A3020,Y8,"13 02 05*, 13 02 06*, 13 02 08*",Waste oil,"H11,H12",18969.3,,GB,,R9,Finland,2018
5,A3020,Y8,13 02 08*,Waste oil,H12,381.61,,SE,,R9,Finland,2018
6,A4060,Y8,13 02 08*,"Waste oils/water, hydrocarbons/water mixtures, emulsions",H12,229.97,,SE,,R9,Finland,2018
7,A3180,Y10,17 05 03*,PCB-containing waste,H12,1628.546,,SE,D9,,Finland,2018
8,,Y18,19 12 07,Treated wood wastes,H_,4145.486,,NO,,R1,Finland,2018
9,A1180,"Y22,Y31,Y45","16 02 11*, 20 01 23*",Refrigerating devices,H12,209.14,,EE,,"R4,R3",Finland,2018
10,A1170,Y26,"16 06 02*, 16 06 05",Battery waste,H12,29.3,,SE,,R4,Finland,2018
11,A1170,Y26,16 06 05,Battery waste,H12,182.0,,SE,,R4,Finland,2018
12,A4050,Y33,11 01 98*,Cyanide-containing waste,"H6.1,H12",11.195,,SE,,R4,Finland,2018
13,A4090,Y34,11 01 06*,Precious metall containing acidic solutions,"H8,H12",2.257,,SE,,R4,Finland,2018
14,,,19 02 05,Cobalt-containing residues,"H11,H12",66.198,"BE,DE,NL",AT,,R4,Finland,2018
15,,,19 02 05*,Cobalt-containing residues,"H11,H12",614.523,"BE,DE,NL",AT,,R4,Finland,2018
16,,,19 02 05*,Cobalt-containing residues,"H11,H12",43.742,DE,AT,,R4,Finland,2018
17,,,19 02 05*,Cobalt-containing residues,"H11,H12",922.888,"PL,SK",AT,,R4,Finland,2018
18,A1170,,16 06 05,Li-ion or lithium accumulators,H12,96.34,DE,AT,,R4,Finland,2018
19,A1170,,16 06 05,Li-ion or lithium accumulators,H12,72.0,DE,DK,,R4,Finland,2018
20,A1170,,16 06 05,Li-ion or lithium accumulators,H12,96.199,NL,DE,,R4,Finland,2018
21,A1170,,16 06 05,Li-ion or lithium accumulators,H12,55.0,,DE,,R4,Finland,2018
22,,,19 12 10,RDF Refuse derived fuel,H13,49.1,,EE,,R1,Finland,2018
23,,,20 03 01,"Domestic waste, Y46",H_,667.68,,SE,D1,,Finland,2018
24,,,20 01 39,"Unclassified, plastic packaging waste, Y46",H_,806.54,SE,NO,,"R12,R3",Finland,2018
25,,,15 01 02,"Unclassified, separately collected municipal used plastic packaging, Y46",H_,1790.1,,SE,,R3,Finland,2018
26,,,19 01 07*,"Residues arising from the incineration of household wastes, Y47",H12,9442.34,,EE,"D9,D1",,Finland,2018
27,,,19 01 13*,"Residues arising from the incineration of household wastes, Y47",H_,2078.86,,EE,"D9,D1",,Finland,2018
28,B1200,,10 02 02,Granulated slag arising from the manufacture of iron and steel,H_,12069.899,,RU,,"R12,R4",Finland,2018
29,,,19 10 02,NFR non-ferrous metal fraction from shredder operation,H_,3035.4,,SE,,R4,Finland,2018
30,,,19 12 07,Treated wood wastes,H_,4700.0,DE,GB,,R1,Finland,2018
31,,,19 12 07,Treated wood wastes,H_,5258.792,NL,BE,,R1,Finland,2018
32,,,19 12 07,Treated wood wastes,H_,1774.857,,DK,,R1,Finland,2018
33,,,"03 01 01, 03 01 05",Treated wood wastes,H_,10887.684,,RU,,R1,Finland,2018
34,,,"16 06 05, 20 01 34",Unclassified; waste batteries,H_,43.9,"EE,LT,LV",PL,,R4,Finland,2018
35,,,19 12 07,Unclassified; wood chips,H_,4614.357,DE,NL,,R1,Finland,2018
36,B1120,,16 08 03,Waste catalyst (green),H_,322.625,"DE,EG",MY,,R8,Finland,2018
37,,,19 08 05,Waste water treatment sludge,H_,3746.48,,SE,,R3,Finland,2018
