,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A4070,Y12,150202,"absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses",H4.1,20,,BE,,R12,Luxembourg,2018
1,A4130,Y18,150110,emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus,H12,89,,DE,,R4,Luxembourg,2018
2,A3050,Y13,80416,déchets liquides aqueux contenant des colles ou mastics autres que ceux visés à la rubrique 08 04 15,,1024,,BE,,R12,Luxembourg,2018
3,A3020,Y8,190207,hydrocarbures et concentrés provenant d'une séparation,,645,,BE,,R12,Luxembourg,2018
4,A4060,Y9,130507,eau mélangée à des hydrocarbures provenant de séparateurs eau/hydrocarbures,,210,,FR,D9,,Luxembourg,2018
5,,Y18,191212,autres déchets (y compris mélanges) provenant du traitement mécanique des déchets autres que ceux visés à la rubrique 19 12 11,,152,,FR,,R12,Luxembourg,2018
6,A4070,Y12,200127,"peinture, encres, colles et résines contenant des substances dangereuses",H3,798,,DE,,R3,Luxembourg,2018
7,,Y16,90101,bains de développement aqueux contenant un activateur,H8,6,FR,CH,,R13,Luxembourg,2018
8,A4070,Y12,80111,déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses,H4.1,271,,BE,D10,,Luxembourg,2018
9,A3140,,70104,"autres solvants, liquides de lavage et liqueurs mères organiques",,688,,FR,,R12,Luxembourg,2018
10,A4090,Y35,60205,autres bases,H8,43,,BE,,R5,Luxembourg,2018
11,,,190205,boues provenant des traitements physico-chimiques contenant des substances dangereuses,H12,318,,BE,,R12,Luxembourg,2018
12,A4020,Y1,180103,déchets dont la collecte et l'élimination font l'objet de prescriptions particulières vis-à-vis des risques d'infection,H6.2,3,,DE,D10,,Luxembourg,2018
13,,,170503,terres et cailloux contenant des substances dangereuses,H12,6018,,DE,,R5,Luxembourg,2018
14,A4070,Y12,80113,boues provenant de peintures ou vernis contenant des solvants organiques ou autres substances dangereuses,H3,21,,DE,,R13,Luxembourg,2018
15,A4090,Y34,110105,acides de décapage,,14,,DE,D15,,Luxembourg,2018
16,A2030,Y18,160802,catalyseurs usés contenant des métaux ou composés de métaux de transition dangereux,H4.2,1415,BE,DE,,R4,Luxembourg,2018
17,A3160,Y9,70608,autres résidus de réaction et résidus de distillation,H3,43,,DE,D15,,Luxembourg,2018
18,,,170303,goudron et produits goudronnés,H12,389,,DE,,R5,Luxembourg,2018
19,A1180,,200135,"équipements électriques et électroniques mis au rebut contenant des composants dangereux, autres que ceux visés aux rubriques 20 01 21 et 20 01 23",H11,42,,BE,,R12,Luxembourg,2018
20,A4060,Y9,161001,déchets liquides aqueux contenant des substances dangereuses,H12,52,FR,DE,D9,,Luxembourg,2018
21,Y46,,200199,autres fractions non spécifiées ailleurs,,143,BE,NL,,R12,Luxembourg,2018
22,A4060,Y9,130502,boues provenant de séparateurs eau/hydrocarbures,H3,510,,DE,D9,,Luxembourg,2018
23,A3020,Y8,130205,"huiles moteur, de boîte de vitesses et de lubrification non chlorées à base minérale",H3,81,,BE,,R13,Luxembourg,2018
24,,,100101,"mâchefers, scories et cendres sous chaudière (sauf cendres sous chaudière visées à la rubrique 10 01 04)",H13,1523,,DE,,R12,Luxembourg,2018
25,,,170106,"mélanges ou fractions séparées de béton, briques, tuiles et céramiques contenant des substances dangereuses",H12,5719,,DE,D1,,Luxembourg,2018
26,A4140,,160506,"produits chimiques de laboratoire à base de ou contenant des substances dangereuses, y compris les mélanges de produits chimiques de laboratoire",H3,1,,DE,D15,,Luxembourg,2018
27,,,100207,déchets solides provenant de l'épuration des fumées contenant des substances dangereuses,H12,1574,,DE,D1,,Luxembourg,2018
28,A3200,,170301,mélanges bitumineux contenant du goudron,H13,698,,DE,D1,,Luxembourg,2018
29,,Y42,160113,liquides de frein,H12,41,,DE,,R12,Luxembourg,2018
30,A3200,,170301,mélanges bitumineux contenant du goudron,H12,9640,,DE,,R5,Luxembourg,2018
31,A4060,Y9,161003,concentrés aqueux contenant des substances dangereuses,,372,,DE,D9,,Luxembourg,2018
32,A3140,Y42,70104,"autres solvants, liquides de lavage et liqueurs mères organiques",H3,423,,FR,,R3,Luxembourg,2018
33,A3050,Y13,80409,déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses,,4,,DE,D10,,Luxembourg,2018
34,A4070,Y12,190814,boues provenant d'autres traitements des eaux usées industrielles autres que celles visées à la rubrique 19 08 13,,20,,DE,,R13,Luxembourg,2018
35,A4070,Y12,150202,"absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses",H3,97,,DE,D10,,Luxembourg,2018
36,A4130,Y6,150110,emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus,H3,66,,DE,,R12,Luxembourg,2018
37,A3180,Y10,170902,"déchets de construction et de démolition contenant des PCB (par exemple, mastics, sols à base de résines, double vitrage, condensateurs contenant des PCB)",H11,3,,DE,D10,,Luxembourg,2018
38,A1050,Y17,110109,boues et gâteaux de filtration contenant des substances dangereuses,,280,,BE,,R4,Luxembourg,2018
39,,Y23,100207,déchets solides provenant de l'épuration des fumées contenant des substances dangereuses,,32866,,DE,,R4,Luxembourg,2018
40,A1160,Y31,160601,accumulateurs au plomb,H8,11,,BE,,R4,Luxembourg,2018
41,A4070,Y12,80111,déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses,H4.1,54,,DE,D10,,Luxembourg,2018
42,,,170503,terres et cailloux contenant des substances dangereuses,H12,957,,DE,,R5,Luxembourg,2018
43,A4010,Y3,200131,médicaments cytotoxiques et cytostatiques,H13,152,,DE,D10,,Luxembourg,2018
44,A1180,,200135,"équipements électriques et électroniques mis au rebut contenant des composants dangereux, autres que ceux visés aux rubriques 20 01 21 et 20 01 23",H13,63,FR,CH,,R4,Luxembourg,2018
45,A4080,Y15,150110,emballages contenant des résidus de substances dangereuses ou contaminés par de tels résidus,H3,3,,BE,,R4,Luxembourg,2018
46,,,20109,déchets agrochimiques autres que ceux visés à la rubrique 02 01 08,H5.1,19,,BE,D10,,Luxembourg,2018
47,A3140,Y42,70104,"autres solvants, liquides de lavage et liqueurs mères organiques",H3,21,,FR,,R2,Luxembourg,2018
48,,,150202,"absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses",H12,261,,BE,,R12,Luxembourg,2018
49,A4070,Y12,80111,déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses,H4.1,237,,BE,,R12,Luxembourg,2018
50,A2050,Y36,160212,équipements mis au rebut contenant de l'amiante libre,H11,8,,BE,D1,,Luxembourg,2018
51,,,191206,bois contenant des substances dangereuses,H12,560,FR,DE,,R1,Luxembourg,2018
52,A3180,Y10,130101,huiles hydrauliques contenant des PCB,H11,2,,BE,D10,,Luxembourg,2018
53,A3050,Y13,70208,autres résidus de réaction et résidus de distillation,H12,221,,BE,,R12,Luxembourg,2018
54,,,170204,"bois, verre et matières plastiques contenant des substances dangereuses ou contaminés par de telles substances",H12,133,,DE,,R1,Luxembourg,2018
55,,,191206,bois contenant des substances dangereuses,H12,7765,,DE,,R1,Luxembourg,2018
56,A3050,Y13,80409,déchets de colles et mastics contenant des solvants organiques ou d'autres substances dangereuses,H4.1,36,,DE,D10,,Luxembourg,2018
57,A4010,Y3,180109,médicaments autres que ceux visés à la rubrique 18 01 08,,4,,DE,,R1,Luxembourg,2018
58,A2050,Y36,170601,matériaux d'isolation contenant de l'amiante,H11,4,,DE,D1,,Luxembourg,2018
59,A1160,Y31,160601,accumulateurs au plomb,H8,14,,BE,,R12,Luxembourg,2018
60,A3140,Y16,70604,"autres solvants, liquides de lavage et liqueurs mères organiques",,43,,DE,D15,,Luxembourg,2018
61,,Y36,170605,matériaux de construction contenant de l'amiante,,244,,DE,D1,,Luxembourg,2018
62,A3200,,170301,mélanges bitumineux contenant du goudron,H12,3692,,DE,D1,,Luxembourg,2018
63,A4060,Y9,130802,autres émulsions,,2860,,BE,D9,,Luxembourg,2018
64,A3200,Y11,170301,mélanges bitumineux contenant du goudron,H13,480,,DE,,R5,Luxembourg,2018
65,,Y40,160114,antigels contenant des substances dangereuses,H12,86,,DE,,R12,Luxembourg,2018
66,,,170106,"mélanges ou fractions séparées de béton, briques, tuiles et céramiques contenant des substances dangereuses",H12,4230,,DE,D1,,Luxembourg,2018
67,A4080,Y15,160110,"composants explosifs (par exemple, coussins gonflables de sécurité)",H1,1,,DE,,R13,Luxembourg,2018
68,,,170301,mélanges bitumineux contenant du goudron,H12,4276,,DE,D1,,Luxembourg,2018
69,A3200,,170301,mélanges bitumineux contenant du goudron,,492,,DE,D1,,Luxembourg,2018
70,A3140,Y42,70604,"autres solvants, liquides de lavage et liqueurs mères organiques",,21,,DE,D15,,Luxembourg,2018
71,,Y18,170503,terres et cailloux contenant des substances dangereuses,H4.1,9850,,BE,,R5,Luxembourg,2018
72,A4070,Y12,80111,déchets de peintures et vernis contenant des solvants organiques ou d'autres substances dangereuses,,1,BE,NL,,R4,Luxembourg,2018
73,,Y18,70213,déchets plastiques,,24,,DE,,R1,Luxembourg,2018
74,,Y9,101114,boues de polissage et de meulage du verre autres que celles visées à la rubrique 10 11 13,,90,,DE,D9,,Luxembourg,2018
75,,Y18,170106,"mélanges ou fractions séparées de béton, briques, tuiles et céramiques contenant des substances dangereuses",,4436,,BE,,R5,Luxembourg,2018
76,,Y42,160113,liquides de frein,,1,,DE,,R2,Luxembourg,2018
77,,,150202,"absorbants, matériaux filtrants (y compris les filtres à huile non spécifiés ailleurs), chiffons d'essuyage et vêtements de protection contaminés par des substances dangereuses",H4.1,11,,DE,D15,,Luxembourg,2018
78,,Y9,130508,mélanges de déchets provenant de dessableurs et de séparateurs eau/hydrocarbures,H3,16,,DE,,R12,Luxembourg,2018
79,,Y10,170903,autres déchets de construction et de démolition (y compris en mélange) contenant des substances dangereuses,,2240,BE,NL,,R5,Luxembourg,2018
80,,,160107,filtres à huile,H12,59,,BE,,R12,Luxembourg,2018
81,,Y18,190205,boues provenant des traitements physico-chimiques contenant des substances dangereuses,H8,1182,,DE,,R12,Luxembourg,2018
82,A3200,Y11,170301,mélanges bitumineux contenant du goudron,H13,543,,DE,D1,,Luxembourg,2018
83,A1120,Y22,110205,déchets provenant des procédés hydrométallurgiques du cuivre contenant des substances dangereuses,H12,621,,BE,,R12,Luxembourg,2018
84,A2050,Y36,170605,matériaux de construction contenant de l'amiante,,788,,DE,D1,,Luxembourg,2018
85,,Y18,170301,mélanges bitumineux contenant du goudron,,554,,DE,,R5,Luxembourg,2018
86,A4060,Y9,161001,déchets liquides aqueux contenant des substances dangereuses,H12,42,,DE,D13,,Luxembourg,2018
87,A4070,Y12,200127,"peinture, encres, colles et résines contenant des substances dangereuses",H3,308,,BE,,R12,Luxembourg,2018
88,,Y9,80308,déchets liquides aqueux contenant de l'encre,,210,,DE,D9,,Luxembourg,2018
89,,Y45,160504,gaz en récipients à pression (y compris les halons) contenant des substances dangereuses,,1,,BE,,R3,Luxembourg,2018
