,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1160,Y31,,Lead-acid batteries for automotive and industrial use,,8579,,US,,R4,Mexico,2018
1,A1160,Y31,,Used electric accumulators,,388322,,US,,R1,Mexico,2018
2,,,S1,Mixture of solids contaminated with flammable organic solvents,H3,10540,,US,,R1,Mexico,2018
3,A1180,Y23,,Dust control equipment emission electric arc furnaces in the iron and steel produccción,,570467,,US,,R4,Mexico,2018
4,,Y22,,Sludge with high copper content,,3000,US,CA,,R4,Mexico,2018
5,,Y31,,Lead antimony oxide,,7200,US,CA,,R4,Mexico,2018
6,,,O4,Contaminated aqueous solutions,H8,5000,,US,,R3,Mexico,2018
7,,Y31,,Metal oxides of tin-lead and other tin alloys,,497,,US,,R4,Mexico,2018
8,A2010,,SO4,Cathode ray tube and leaded glass from waste monitors and televisions,,108000,,US,,R6,Mexico,2018
9,,,O4,Used or worn lubricating oil,H11,23760,,US,,R3,Mexico,2018
10,A1010,,,Waste and scrap of lead,,4160,,US,,R4,Mexico,2018
11,,,O4,Residual oil mixture,H6.1,400,,US,,R1,Mexico,2018
12,,,Article 31-II,Mixture of spent organic solvents,H3,4000,,US,,R2,Mexico,2018
13,,,LR1,Mixture of contaminated aqueous solutions,H8,1500,,US,,R3,Mexico,2018
