,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y1,70111,,,475.8,,BE,D10,,Netherlands,2018
1,,Y1,180103,,,7.249,,BE,D10,,Netherlands,2018
2,,Y1,150202,,,60.052,,DE,D10,,Netherlands,2018
3,,Y1,190205,,,175.34,,DE,D10,,Netherlands,2018
4,,Y1,190205,,,4228.35,,DE,,R1,Netherlands,2018
5,,Y1,191206,,,5377.47,,DE,,R1,Netherlands,2018
6,,Y1,100308,,,6050.98,,DE,,R4,Netherlands,2018
7,A4010,Y1,180103,,,17.86,,BE,D10,,Netherlands,2018
8,A4010,Y1,180202,,,32.64,,BE,D10,,Netherlands,2018
9,A4020,Y1,180103,,,508.68,,BE,D10,,Netherlands,2018
10,A4020,Y1,180103,,,143.07,,DE,D10,,Netherlands,2018
11,A4140,Y1,70101,,,179.805,,DK,D10,,Netherlands,2018
12,,Y1,180101,,,1126.02,,BE,D10,,Netherlands,2018
13,,Y1,191204,,,3606.33,,BE,,R1,Netherlands,2018
14,,Y1,30310,,,4053.95,,BE,,R5,Netherlands,2018
15,,Y1,191207,,,12287.9,,DE,,R1,Netherlands,2018
16,,Y1,191210,,,3066.56,,DE,,R1,Netherlands,2018
17,,Y1,120117,,,363.929,,DE,,R5,Netherlands,2018
18,,Y1,191212,,,1197.35,,DE,,R5,Netherlands,2018
19,,Y1,191210,,,12900.0,,SE,,R1,Netherlands,2018
20,A4020,Y1,180203,,,84.84,,BE,D10,,Netherlands,2018
21,,Y2,70504,,,200.88,,BE,D10,,Netherlands,2018
22,,Y2,120112,,,76.786,,DE,D9,,Netherlands,2018
23,,Y2,70503,,,20.94,,DE,D10,,Netherlands,2018
24,,Y2,120112,,,38.476,,DE,,R3,Netherlands,2018
25,A3140,Y2,70504,,,148.64,,BE,D10,,Netherlands,2018
26,A3140,Y2,70504,,,281.613,,DE,,R1,Netherlands,2018
27,A3140,Y2,70504,,,129.08,,FR,,R2,Netherlands,2018
28,A3150,Y2,70503,,,87.72,,BE,D10,,Netherlands,2018
