,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A2050,Y36,,Asbestos,H11,65.4,,FR,D5,,New Zealand,2018
1,A4040,"Y22,Y24",,Treated wooden posts (CCA),H12,29.26,,FR,D1,,New Zealand,2018
2,A1160,"Y31,Y34",,Used lead acid batteries,"H8,H11",144.831, ,FR,,"R4,R13",New Zealand,2018
3,A3020,Y9,,"Waste hydrocarbon contaminated oils, sludges and solids","H3,H12",112.954, ,FR,D13,R9,New Zealand,2018
4,A3020,Y9,,"Waste hydrocarbon contaminated oils, sludges and solids","H3,H12",102.76,,FR,"D5,D13,D14","R4,R9",New Zealand,2018
5,A3020,Y8,,Oily Rags,H3,18.0,,FR,D10,R4,New Zealand,2018
6,A4060,Y9,,"Waste hydrocarbon oil and grease contaminated liquids, soils and solids","H3,H12",450.4,,FR,"D5,D13",R9,New Zealand,2018
7,A4030,Y4,,"Wastes from the production, formulation and use of biocides and phytopharmaceuticals, including waste pesticides and herbicides which are off-specification, outdated or unfit for their originally intended use","H3,H4.1,H4.2,H5.1,H6.1,H8,H10,H11,H12,H13",0.45,,FR,"D9,D10,D15",,New Zealand,2018
8,A4030,Y4,,"Wastes from the production, formulation and use of biocides and phytopharmaceuticals, including waste pesticides and herbicides which are off-specification, outdated or unfit for their originally intended use","H3,H4.1,H4.2,H5.1,H6.1,H8,H10,H11,H12,H13",0.366,,FR,D9,,New Zealand,2018
9,A3150,Y6,,Halogenated solvents,"H11,H12",0.031,,FR,D15,,New Zealand,2018
10,A3020,Y8,,"Rags soiled by hydrocarbons, oil filter, oil, earth soiled by hydrocarbons, wastes soiled by hydrocarbons","H3,H6.1,H10,H11,H12",56.907,,FR,,R1,New Zealand,2018
11,A3020,Y8,,"Rags soiled by hydrocarbons, oil filter, oil, earth soiled by hydrocarbons, wastes soiled by hydrocarbons &Waste mineral oils unfit for their original intended use","H3,H6.1,H10,H11,H12",350.884,,FR,"D1,D9",,New Zealand,2018
12,A4060,Y9,,"Waste oils/water, hydrocarbons/water mixtures, emulsions, earth soiled by hydrocarbons",H12,19.109,,FR,D2,R1,New Zealand,2018
13,A4060,Y9,,"Waste oils/water, hydrocarbons/water mixtures, emulsons, Earth soiled by hydrocarbons",H12,101.449,,FR,"D1,D9","R1,R9",New Zealand,2018
14,A4070,Y12,,"waste from production, formulation and use of inks, dyes, pigments, paints and varnish","H3,H8",67.719,,FR,"D5,D9",R2,New Zealand,2018
15,A4070,Y12,,Waste from the MFSU of Paints Varnishes Inks and Solvents,H3,29.245,,FR,D5,"R2,R11",New Zealand,2018
16,A3050,Y13,,"Waste from production, formulation and use of resins, latex, plasticizers, glue/adhesives","H3,H8,H11,H12,H13",18.193,,FR,D15,R2,New Zealand,2018
17,A3050,Y13,,"Waste from the MFSU of Resins, Latex, Plasticizers, Glue, Adhesives","H3,H8,H12",2.1,,FR,D13,R2,New Zealand,2018
18,A4140,Y14,,Waste consisting of or containing off specification or outdated chemicals,"H3,H4.1,H5.1,H6.1,H8,H11,H12",137.651,,FR,D9,,New Zealand,2018
19,A4150,Y14,,Waste chemical substances arising from research and development or teaching activities,"H3,H4.1,H5.1,H6.1,H8,H11,H12",107.573,,FR,"D5,D9",,New Zealand,2018
20,A3040,Y14,,Waste thermal fluids: Cooling liquid,H3,4.57,,FR,D9,,New Zealand,2018
