,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A2030,Y2,"16 08 07*, HP13EU,HP4EU,HP6EU",spent catalysts contaminated with dangerous substances,H11,0.095,,GB,,R8,Sweden,2018
1,A4030,Y4,20 01 19*,pesticides,"H3,H6.1",9.871,,DE,D10,,Sweden,2018
2,,Y6,16 01 14*,antifreeze fluids containing dangerous substances,H12,55.0,DK,DE,,R9,Sweden,2018
3,A4090,Y6,07 01 08*,other still bottoms and reaction residues,H3,192.58,,DK,D10,,Sweden,2018
4,A3140,Y6,07 05 04*,"other organicsolvents, washing liquids and mother liquors",H3,439.18,,DK,,R1,Sweden,2018
5,A3140,Y6,07 05 04*,"other organicsolvents, washing liquids and mother liquors","H3,H8",2315.54,,DK,,R1,Sweden,2018
6,A4060,Y8,13 02 08*,"other engine, gear and lubricating oils",H12,21.61,,FI,,R9,Sweden,2018
7,A3020,Y8,13 03 07*,mineral-based non-chlorinated insulating and heat transmission oils,H12,24.96,DK,DE,,R9,Sweden,2018
8,A4060,Y8,13 07 03*,other fuels (including mixtures),H3,92.78,,NO,,R1,Sweden,2018
9,A3020,Y8,16 01 07*,oil filters,H12,146.936,,DK,,"R1,R12,R4,R9",Sweden,2018
10,A4060,Y8,13 02 08*,"other engine, gear and lubricating oils",H12,229.97,,FI,,R9,Sweden,2018
11,A3020,Y8,13 03 07*,mineral-based non-chlorinated insulating and heat transmission oils,H12,259.266,DK,DE,,R9,Sweden,2018
12,A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",H3,267.37,DK,DE,,R9,Sweden,2018
13,A3020,Y8,13 03 07*,mineral-based non-chlorinated insulating and heat transmission oils,H12,340.46,DK,DE,,R9,Sweden,2018
14,A3020,Y8,13 02 08*,"other engine, gear and lubricating oils",H12,360.0,,FI,,R9,Sweden,2018
15,A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",H3,635.88,,DE,,R9,Sweden,2018
