,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1180,,,Used Office Equipment,,5.03,,MY,,R4,Thailand,2018
1,A1180,,,Used Xerox Office Equipments,,208.08,,MY,,R4,Thailand,2018
2,A4070,,,Used Xerox Supplies Containing Residual Toner,,81.97,,MY,,R4,Thailand,2018
3,A1180,,,Computer Parts,,900.25,,GB,,R4,Thailand,2018
4,A1180,,,"Used Electronic Equipment (Including Telephone/Mobile Phone, Network Router/Hub, Desktop, Computer Parts, Notebook/Laptop, Modem/Network Devices, DVD/CD/ Floppy/Tape Devices, Projector, Printer, Server System, Audio Devices, and Arcade Games)",,790.97,,KR,,R4,Thailand,2018
5,A1180,,,"	
Printed Circuit Board Assembly: PCB (A), Telephone, Network Router, Hub, Desktop, Computer Parts, Modem, Network Devices, DVD, CD, Floppy (DVD, CD, Floppy, Tape Devices), Projector, Printer, Mobile Phone, Notebook, Laptop, Server System, Audio Devices, Arcade Games",,201.55,,LK,,R4,Thailand,2018
6,A1180,,,"Printed Circuit Board Assembly : PCB (A), Telephone, Network Router, Hub, Desktop, Computer Parts,Modem, Network Devices, VDO, DVD, CD, Floppy, Tape Devices, Projector, Printer, Mobile Phone, Notebook, Laptop, Server System,  Audio Devices, Arcade Games",,305.32,,SG,,R4,Thailand,2018
7,A1180,,,"Printed Circuit Board Assembly: PCB (A), Telephone, Network Router, Hub, Desktop, Computer Parts, Modem, Network Devices, DVD, CD, Floppy (DVD, CD, Floppy, Tape Devices), Projector, Printer, Mobile Phone, Notebook, Laptop, Server System, Audio Devices, Arcade Games",,1595.07,,SG,,R4,Thailand,2018
8,A1180,,,Used Office Equipment,,258.94,,SG,,R4,Thailand,2018
9,A4070,,,Used Xerox Supplies Containing Residual Toner,,102.04,,SG,,R4,Thailand,2018
10,"A3170,A4070",,,Used Xerox Supplies Containing Residual Toner,,2.98,,ID,,R4,Thailand,2018
11,A1180,,,Used Office Equipment,,99.4,,PH,,R4,Thailand,2018
12,A4070,,,Used Xerox Supplies Containing Residual Toner,,58.64,,PH,,R4,Thailand,2018
