,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1050,," 11 01 09*, 19 02 05*",Galvanic sludges,"H11,H12",225.872,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2018
1,A2010,, 16 02 15*,Glass waste from cathode-ray tubes and other activated glasses,H13,27.42,,NL,,"R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
2,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H_,28.089,FR,BE,,R4,United Kingdom of Great Britain and Northern Ireland,2018
3,A2030,, 16 08 02*,Waste catalysts but excluding such wastes specified on list B,H8,255.886,DE,CZ,,R4,United Kingdom of Great Britain and Northern Ireland,2018
4,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,103.627,FR,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2018
5,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H11,352.7277,FR,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2018
6,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H12,257.4736,FR,IT,,R4,United Kingdom of Great Britain and Northern Ireland,2018
7,A2030,, 16 08 07*,Waste catalysts but excluding such wastes specified on list B,H_,156.4244,,US,,R4,United Kingdom of Great Britain and Northern Ireland,2018
8,A3050,, 08 05 01*,"Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020)","H11,H12,H3,H6.1",87.72,NL,DE,,"R1,R4,R12",United Kingdom of Great Britain and Northern Ireland,2018
9,A3050,, 08 05 01*,"Wastes from production, formulation and use of resins, latex, plasticisers, glues/adhesives excluding such wastes specified on list B (note the related entry on list B, B4020)","H3,H6.1",139.14,NL,DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
10,A3150,, 14 06 02*,Waste halogenated organic solvents,H_,136.216,FR,DE,,R2,United Kingdom of Great Britain and Northern Ireland,2018
11,A3200,, 17 03 01*,"Bituminous material (asphalt waste) from road construction and maintenance, containing tar (note the related entry on list B B2130)",H_,2550.821,,NL,,"R1,R5",United Kingdom of Great Britain and Northern Ireland,2018
12,A4100,, 10 10 09*,Wastes from industrial pollution control devices for cleaning of industrial off-gases but excluding such wastes specified on list B,H11,2.184,"BE,FR,NL",DE,,R4,United Kingdom of Great Britain and Northern Ireland,2018
13,A4130,, 15 01 10*,Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,H_,217.732,FR,ES,,R3,United Kingdom of Great Britain and Northern Ireland,2018
14,A4130,," 15 01 10*, 15 02 02*",Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,H12,277.38,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2018
15,A4130,," 15 01 10*, 15 02 02*",Waste packages and containers containing Annex I substances in concentrations sufficient to exhibit Annex III hazard characteristics,H_,201.48,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2018
16,A4140,," 15 01 10*, 15 02 02*, 16 03 05*",Waste consisting of or containing off-specification or out-dated chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics,"H4.1,H6.1,H8",74.52,NL,BE,,R1,United Kingdom of Great Britain and Northern Ireland,2018
17,A4140,, 16 05 04*,Waste consisting of or containing off-specification or out-dated chemicals corresponding to Annex I categories and exhibiting Annex III hazard characteristics,"H6.1,H8",8.622,,DE,D10,,United Kingdom of Great Britain and Northern Ireland,2018
18,,Y18, 19 12 12,ASR and SDA Wire,,5514.292,,NL,,R4,United Kingdom of Great Britain and Northern Ireland,2018
19,,Y18, 07 06 99,Biofat Composite,,176.74,,NL,,"R1,R10,R12",United Kingdom of Great Britain and Northern Ireland,2018
20,,Y18, 17 09 04,Construction and demolition waste,,1959.7,"BE,FR",NL,,"R1,R3,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
21,,," 07 01 08*, 07 02 08*, 07 06 08*, 07 06 10*, 07 06 11*, 16 03 05*, 16 05 06*, 16 05 08*, 20 01 29*",Cosmetic waste ,"H11,H12,H4.1,H6.1,H8",23.2,NL,BE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
22,,," 16 02 14, 20 01 35*",Electronic Scrap,H_,113.113,,NL,,"R4,R12",United Kingdom of Great Britain and Northern Ireland,2018
23,,, 19 10 06,E-Scrap precious metal smelter concentrate,H_,609.375,,CA,,R4,United Kingdom of Great Britain and Northern Ireland,2018
24,,Y18, 07 07 10*,Filter cake ,,233.35,"BE,FR",NL,,R12,United Kingdom of Great Britain and Northern Ireland,2018
25,,," 07 01 08*, 10 02 11*, 13 05 02*, 13 05 03*, 13 05 07*, 19 02 04*, 19 11 05*",Filter cake and sludges,H12,150.451,NL,BE,,"R1,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
26,,Y18, 19 10 04,Fluff Light Fraction (Non-Hazardous),,682.59,FR,BE,,R12,United Kingdom of Great Britain and Northern Ireland,2018
27,,, 12 01 14*,Hard Metal Powder Residues and Sludge ,H11,239.395,"DE,FR",AT,,R4,United Kingdom of Great Britain and Northern Ireland,2018
28,,, 19 02 08*,Low Flash Waters,"H12,H3",211.48,,NL,,R1,United Kingdom of Great Britain and Northern Ireland,2018
29,Y46,, 19 12 12,Material after mechanical treatment,,7320.558,"BE,FR",NL,,"R1,R3,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
30,,Y18, 19 12 12,Material after mechanical treatment of C & D waste,,2326.52,"BE,FR",NL,,"R1,R3,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
31,,Y18, 19 12 12,Material after mechanical treatment of C&D was,,1811.08,"BE,FR",NL,,"R1,R3,R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
32,,Y18, 19 12 03,Non-ferrous metal mix,,134.26,FR,BE,,"R4,R5,R12",United Kingdom of Great Britain and Northern Ireland,2018
33,Y46,, 19 12 10,Refuse derived fuel (RDF),,13322.16,"BE,FR,NL",DE,,R1,United Kingdom of Great Britain and Northern Ireland,2018
34,Y46,, 19 12 10,Refuse derived fuel (RDF),,7600.866,"BE,FR,NL",DE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
35,Y46,, 19 12 10,Refuse derived fuel (RDF),,24853.53,"BE,FR",NL,,R1,United Kingdom of Great Britain and Northern Ireland,2018
36,Y46,, 19 12 10,Refuse derived fuel (RDF),,9720.258,NL,NO,,R1,United Kingdom of Great Britain and Northern Ireland,2018
37,Y46,, 19 12 12,Refuse derived fuel (RDF),,256.57,NL,NO,,R1,United Kingdom of Great Britain and Northern Ireland,2018
38,Y46,, 19 12 10,Refuse derived fuel (RDF),,25552.33,"BE,DE,FR,NL",PL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
39,Y46,, 19 12 10,Refuse derived fuel (RDF),,1895.28,"DE,NL",PL,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
40,Y46,, 19 12 10,Refuse derived fuel (RDF),,12645.78,,SE,,R1,United Kingdom of Great Britain and Northern Ireland,2018
41,Y46,, 19 12 10,Refuse derived fuel (RDF),,2211.92,,SE,,"R1,R12",United Kingdom of Great Britain and Northern Ireland,2018
