,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A3050,Y13,16 03 05,uncured resins,H3,48.2,DE,BE,,R1,Austria,2019
1,A3050,Y13,16 03 05,uncured resins,H3,240.2,DE,BE,,R12,Austria,2019
2,A1050,Y17,11 01 09,electroplating sludge,H11,694.6,"DE,NL",BE,,R4,Austria,2019
3,,Y18,19 02 05,c/p-treatment sludge,H11,211.9,"DE,NL",BE,,R4,Austria,2019
4,,Y18,19 12 11,premixed wastes,H4.1,120.7,DE,BE,,R12,Austria,2019
5,A4090,Y23,11 01 07,etching solutions,H8,27.4,DE,BE,,R4,Austria,2019
6,A1120,Y31,11 02 05,lead sludge,H11,363.0,DE,BE,,R4,Austria,2019
7,A1100,Y31,10 06 03,filter dust,H11,3323.5,DE,BE,,R4,Austria,2019
8,A3150,Y41,14 06 04,solvent sludge,H6.1,21.3,DE,BE,,R2,Austria,2019
9,A3140,Y42,14 06 05,solvent sludge,H3,7.8,DE,BE,,R2,Austria,2019
10,A3140,Y42,07 05 04,solvents,H3,685.2,"DE,NL",BE,,R2,Austria,2019
11,A4160,Y45,15 02 02,activated carbon,H12,66.2,DE,BE,,R7,Austria,2019
12,A1180,Y31,16 02 13,monitors,H12,1361.7,,DE,,R5,Austria,2019
13,,,11 01 09,Ni-sludge,H11,130.5,,DE,,R4,Austria,2019
14,A4100,,10 01 04,V-asch,H11,611.9,,DE,,R4,Austria,2019
15,,,10 08 10,drosses,H4.3,11.8,,DE,D12,,Austria,2019
16,,,10 10 03,slag,H11,163.9,,DE,,R4,Austria,2019
17,A1010,Y29,18 01 10 ,amalgam,H12,0.3,,DE,,R13,Austria,2019
18,A1020,Y31,16 03 03,ceramic,H12,6.4,,DE,,R4,Austria,2019
19,A1020,Y31,10 04 01,slag,H11,636.6,,DE,,R4,Austria,2019
20,A1030,Y29,06 04 04,mercury waste,H12,5.0,,DE,D9,,Austria,2019
21,A1030,Y29,16 06 03,batteries,H8,0.6,,DE,,R13,Austria,2019
22,A1030,Y29,18 01 10,amalgam,H8,36.5,,DE,,R4,Austria,2019
