,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A4020,Y1,180106,,,5.0,,NL,,R4,Belgium,2019
1,A3140,Y2,70504,,,70.4,,FR,,R2,Belgium,2019
2,A3140,Y2,70504,,,726.48,,FR,D10,,Belgium,2019
3,A3140,Y2,70504,,,47.6,,NL,D10,,Belgium,2019
4,A4010,Y2,70504,,,152.5,,FR,,R2,Belgium,2019
5,A4010,Y2,70701,,,24.28,,FR,D10,,Belgium,2019
6,A3150,Y2,70707,,,89.84,,DE,,R5,Belgium,2019
7,A3150,Y2,70707,,,86.18,,NL,,R5,Belgium,2019
8,A3140,Y2,160305,,,19.637,,DE,,R4,Belgium,2019
9,A2030,Y2,160807,,,2.633,,DE,,R4,Belgium,2019
10,,Y3,70504,,,28.58,,FR,,R2,Belgium,2019
11,A4030,Y4,70401,,,337.37,,DE,D10,,Belgium,2019
12,A4030,Y4,200119,,,35.647,,DE,D10,,Belgium,2019
13,A3140,Y6,70104,,,114.302,,DE,,R2,Belgium,2019
14,A3140,Y6,70104,,,1465.865,,FR,,R2,Belgium,2019
15,A3140,Y6,70104,,,260.0,,FR,,R1,Belgium,2019
16,A3140,Y6,70104,,,1541.41569,,FR,,R12,Belgium,2019
17,A3140,Y6,70104,,,511.438,,NL,D10,,Belgium,2019
18,A3140,Y6,70104,,,397.48441,,NL,,R12,Belgium,2019
19,A3140,Y6,70108,,,743.7,,DE,,R1,Belgium,2019
20,A3140,Y6,70108,,,1060.04,,FR,,R1,Belgium,2019
21,A4140,Y6,70108,,,20.0,,CH,D10,,Belgium,2019
22,A4140,Y6,70108,,,1534.27337,,DE,D10,,Belgium,2019
23,A4140,Y6,70108,,,1829.27895,,FR,D10,,Belgium,2019
24,,Y6,70108,,,1552.82933,,DE,,R1,Belgium,2019
25,A4070,Y6,70208,,,23.778,,DE,,R1,Belgium,2019
26,A4070,Y6,70208,,,95.84,,DE,,R12,Belgium,2019
27,A3140,Y6,70304,,,134.68,,FR,,R2,Belgium,2019
28,A3140,Y6,70401,,,1026.7,,DE,D10,,Belgium,2019
29,A4010,Y6,70504,,,9098.028,,FR,,R2,Belgium,2019
30,A3150,Y6,70703,,,489.99882,,FR,D10,,Belgium,2019
31,A3140,Y6,70704,,,997.502,,FR,,R2,Belgium,2019
32,A3140,Y6,80111,,,156.197,,FR,,R2,Belgium,2019
33,A4070,Y6,80111,,,272.822,,DE,,R1,Belgium,2019
34,A4070,Y6,80111,,,80.72,,DE,,R12,Belgium,2019
35,A4070,Y6,80111,,,9.76,,DE,,R2,Belgium,2019
36,A4070,Y6,80111,,,345.92,,FR,,R2,Belgium,2019
37,A4070,Y6,80409,,,14.2,,DE,,R12,Belgium,2019
38,A3150,Y6,140602,,,14.672,,DE,,R2,Belgium,2019
39,A3140,Y6,140603,,,23.518,,DE,D10,,Belgium,2019
40,A3140,Y6,140603,,,67.607,,DE,,R2,Belgium,2019
41,A3140,Y6,140603,,,725.93636,,NL,,R2,Belgium,2019
42,A3140,Y6,190208,,,20.0,,DE,,R12,Belgium,2019
43,A3140,Y6,190208,,,147.88,,FR,,R1,Belgium,2019
44,A3150,Y6,190208,,,23.6,,DE,D10,,Belgium,2019
45,A3150,Y6,190208,,,47.02,,DE,D13,,Belgium,2019
46,A4070,Y6,191211,,,13.94,,DE,,R12,Belgium,2019
47,,Y6,191211,,,1526.16,,DE,,R1,Belgium,2019
48,,Y6,191211,,,615.24,,DE,,R12,Belgium,2019
49,,Y6,191211,,,1806.678,,NL,,R1,Belgium,2019
50,A4060,Y8,50103,,,786.00428,,NL,,R12,Belgium,2019
51,,Y8,90102,,,71.46,,DE,D10,,Belgium,2019
52,A3020,Y8,120107,,,11.94,,LU,,R12,Belgium,2019
53,A3020,Y8,130110,,,4465.65936,,FR,,R9,Belgium,2019
54,A3020,Y8,130205,,,5598.50873,,DE,,R9,Belgium,2019
55,A3020,Y8,130205,,,13020.88382,,DE,,R12,Belgium,2019
56,A3020,Y8,130205,,,8850.45,,FI,,R9,Belgium,2019
57,A3020,Y8,130205,,,51.134,,FR,,R9,Belgium,2019
58,A3020,Y8,130208,,,98.62,,DE,,R9,Belgium,2019
59,A3020,Y8,130208,,,3032.428,,FR,,R9,Belgium,2019
60,A3020,Y8,130307,,,254.24,,DE,,R9,Belgium,2019
61,A4060,Y8,130403,,,8823.86,,PT,,R9,Belgium,2019
62,A3020,Y8,130703,,,304.0,,DE,,R9,Belgium,2019
63,A3020,Y8,130703,,,6474.38451,,FR,,R1,Belgium,2019
64,A4060,Y8,130703,,,2572.30268,,DE,,R3,Belgium,2019
65,A3200,Y8,170301,,,2468.338,,NL,,R5,Belgium,2019
66,,Y8,170303,,,310.464,,NL,,R1,Belgium,2019
67,A3020,Y8,190207,,,820.05999,,GB,,R3,Belgium,2019
68,A4060,Y8,190207,,,8715.51056,,DE,,R9,Belgium,2019
69,A4060,Y8,190207,,,3667.759,,PT,,R9,Belgium,2019
70,A4060,Y9,50103,,,2215.7128,,NL,D9,,Belgium,2019
71,A4060,Y9,50103,,,3123.42202,,NL,,R12,Belgium,2019
72,A4060,Y9,50109,,,496.96,,NL,D9,,Belgium,2019
73,A3140,Y9,70108,,,1415.004,,DE,,R13,Belgium,2019
74,A3140,Y9,70108,,,3136.936,,NL,,R1,Belgium,2019
75,A4060,Y9,70108,,,217.3725,,NL,D10,,Belgium,2019
76,A4060,Y9,70108,,,113.2,,NL,,R12,Belgium,2019
77,,Y9,70108,,,80.663,,NL,,R12,Belgium,2019
78,A3020,Y9,130205,,,4133.89149,,FR,,R1,Belgium,2019
79,A3020,Y9,130205,,,1780.0772,,FR,,R9,Belgium,2019
80,A3020,Y9,130208,,,36.5,,NL,,R13,Belgium,2019
81,A4060,Y9,130401,,,5315.63842,,NL,,R12,Belgium,2019
82,A4060,Y9,130501,,,76.15,,NL,,R1,Belgium,2019
83,A4060,Y9,130501,,,13.6,,NL,,R12,Belgium,2019
84,A4060,Y9,130502,,,64.8,,LU,,R12,Belgium,2019
85,A4060,Y9,130506,,,142.16,,NL,,R12,Belgium,2019
86,A4060,Y9,130802,,,291.6,,FR,,R3,Belgium,2019
87,A4060,Y9,160708,,,61.94,,FR,,R1,Belgium,2019
88,A4060,Y9,160708,,,149.52,,FR,,R12,Belgium,2019
89,A4060,Y9,190205,,,1147.065,,NL,,R12,Belgium,2019
90,A4060,Y9,190207,,,5146.4,,FR,,R1,Belgium,2019
91,A4060,Y9,190208,,,559.98,,FR,,R1,Belgium,2019
92,A3180,Y10,160209,,,278.876,,FR,D10,,Belgium,2019
93,A3180,Y10,160209,,,21.06,,NL,D14,,Belgium,2019
94,,Y10,200123,,,1184.71278,,NL,,R12,Belgium,2019
95,A3190,Y11,70108,,,497.83,,FR,,R1,Belgium,2019
96,A3190,Y11,70708,,,782.74,,FR,,R1,Belgium,2019
97,A3200,Y11,170301,,,16012.986,,NL,,R5,Belgium,2019
98,,Y11,170301,,,2692.66,,NL,,R5,Belgium,2019
99,,Y11,170303,,,248.88,,NL,,R1,Belgium,2019
100,A4070,Y12,80111,,,121.016,,DE,,R12,Belgium,2019
101,A4070,Y12,80111,,,75.3,,FR,,R2,Belgium,2019
102,A4070,Y12,80111,,,115.82,,NL,,R1,Belgium,2019
103,A4130,Y12,150110,,,60.02,,DE,,R1,Belgium,2019
104,A4130,Y12,150110,,,165.71,,DE,,R4,Belgium,2019
105,A4130,Y12,150110,,,76.4,,DE,,R12,Belgium,2019
106,A4130,Y12,150110,,,0.35,,NL,,R4,Belgium,2019
107,A4130,Y12,150110,,,351.92979,,NL,,R12,Belgium,2019
108,A4070,Y12,150202,,,0.14,,NL,,R4,Belgium,2019
109,,Y12,191211,,,416.95,,FR,,R1,Belgium,2019
110,A4070,Y12,200127,,,109.04,,FR,,R1,Belgium,2019
111,A4070,Y12,200127,,,173.14,,FR,,R12,Belgium,2019
112,A3050,Y13,80409,,,103.52,,DE,,R12,Belgium,2019
113,A3050,Y13,80409,,,2.006,,NL,,R4,Belgium,2019
114,A4130,Y13,160504,,,35.828,,DE,,R3,Belgium,2019
115,A3050,Y13,191211,,,277.99571,,DE,,R12,Belgium,2019
116,A4070,Y15,150110,,,81.062,,DE,,R2,Belgium,2019
117,A4080,Y15,160110,,,126.991,,DE,D10,,Belgium,2019
118,A4080,Y15,160401,,,51.968,,DE,D10,,Belgium,2019
119,A4080,Y15,160402,,,225.286,,DE,D15,,Belgium,2019
120,A4080,Y15,160403,,,2.374,,DE,D10,,Belgium,2019
121,A4080,Y15,160504,,,368.473,,NL,,R12,Belgium,2019
122,,Y15,160504,,,5.5,,NL,D9,,Belgium,2019
123,,Y15,160504,,,2.0,,NL,D15,,Belgium,2019
124,A3140,Y16,70104,,,895.41,,FR,,R1,Belgium,2019
125,A3140,Y16,70104,,,863.755,,FR,,R2,Belgium,2019
126,A4060,Y16,70701,,,73.48,,NL,D10,,Belgium,2019
127,,Y16,90102,,,587.78,,DE,D10,,Belgium,2019
128,,Y16,90104,,,53.28,,DE,,R4,Belgium,2019
129,,Y16,90106,,,2.806,,NL,,R4,Belgium,2019
130,,Y16,150110,,,4.691,,NL,,R4,Belgium,2019
131,,Y16,190204,,,318.9,,DE,,R11,Belgium,2019
132,A4090,Y17,60101,,,202.095,,GB,,R5,Belgium,2019
133,A1010,Y17,60405,,,33.26,,DE,,R4,Belgium,2019
134,A1060,Y17,110105,,,677.2088,,DE,,R4,Belgium,2019
135,A1060,Y17,110105,,,2003.4484,,DE,,R5,Belgium,2019
136,A1060,Y17,110105,,,354.28,,FR,,R6,Belgium,2019
