,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y18,"191206,200137",AC170,,2660.58,-,DE,,R1,Denmark,2019
1,A1010,Y18,100909,-,,57.76,-,NO,"D9,D12",,Denmark,2019
2,A1010,Y29,180110,-,H12,9.9,-,AU,,R4,Denmark,2019
3,A1020,Y22,"100602,120104",-,H12,157.67,-,BE,,R4,Denmark,2019
4,A1030,Y29,060404,-,H6.1,2.462,-,DE,,R4,Denmark,2019
5,A1030,Y29,200121,-,H12,461.57,-,BE,,R12,Denmark,2019
6,A1030,Y29,200121,-,H11,120.687,-,SE,D5,"R12,R5,R4",Denmark,2019
7,A1030,Y29,200121,-,H11,120.687,-,SE,D5,"R12,R5,R4",Denmark,2019
8,A1050,Y17,"110109,120120",-,H12,53.06,-,DE,,R4,Denmark,2019
9,A1050,Y17,110109,-,"H11,H12",76.65,-,DE,,R4,Denmark,2019
10,A1050,Y17,060405,-,H11,34.82,-,DE,,R4,Denmark,2019
11,A1050,Y17,190205,-,"H11,H12",68.81,-,DE,,R4,Denmark,2019
12,A1050,Y22,190205,-,H12,19.06,-,NL,,"R12,R4",Denmark,2019
13,A1050,Y17,110109,-,H12,329.6,-,DE,,R4,Denmark,2019
14,A1050,Y23,190205,-,H12,17.018,-,NL,,"R12,R4",Denmark,2019
15,A1050,Y22,190205,-,H12,16.225,-,NL,,"R12,R4",Denmark,2019
16,A1060,Y17,"110105,110111,110113",-,H8,164.44,-,DE,,R5,Denmark,2019
17,A1060,Y17,"110105,110111,110113",-,H8,865.97,-,DE,,R5,Denmark,2019
18,A1080,Y23,120116,-,"H4.3,H4.2",113.46,-,BE,,R4,Denmark,2019
19,A1120,Y31,191211,-,H11,72.02,-,SE,,R4,Denmark,2019
20,A1130,Y17,110106,-,H8,73.9,-,BE,,R4,Denmark,2019
21,A1130,Y17,110107,-,H6.1,34.562,-,BE,,"R4,R6",Denmark,2019
