,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,Y46,,200135,,,56.65,DE,DK,,"R12,R13,R3,R4",Lithuania,2019
1,Y46,,200136,,,553.82,DE,DK,,"R12,R13,R3,R4",Lithuania,2019
2,Y46,,200135,,,611.34,DE,DK,,"R13,R12,R3,R4,R5",Lithuania,2019
3,Y46,,200135,,,263.296,DE,DK,,"R12,R13,R3,R4",Lithuania,2019
4,Y46,,200136,,,2616.914,DE,DK,,"R12,R13,R3,R4",Lithuania,2019
5,,Y26,160602,,,92.126,,BY,,"R13,R4",Lithuania,2019
6,,Y26,160602,,,79.59,,BY,,"R13,R4",Lithuania,2019
7,,Y31,160601,,,122.228,,LV,,"R12,R3",Lithuania,2019
8,,Y31,160601,,,79.062,,LV,,"R4,R13,R12",Lithuania,2019
9,,Y18,200135,,,534.988,DE,DK,,"R13,R5,R4,R3,R1",Lithuania,2019
10,,Y18,200135,,,466.232,"SE,LV",NO,,"R13,R1,R3,R4,R5",Lithuania,2019
11,,Y18,200136,,,218.024,"SE,LV",NO,,"R13,R1,R3,R4,R5",Lithuania,2019
12,,Y18,200135,,,31.426,"SE,LV",NO,D5,"R13,R1,R3,R4,R5",Lithuania,2019
13,,Y18,200136,,,1250.417,"SE,LV",NO,D5,"R13,R1,R3,R4,R5",Lithuania,2019
14,,Y18,200135,,,995.749,,SE,,"R13,R4,R5,R1,R3",Lithuania,2019
15,,Y18,200136,,,15.14,,SE,,"R13,R4,R5,R1,R3",Lithuania,2019
16,Y46,,200136,,,65.918,,SE,,"R13,R1,R3,R4,R5",Lithuania,2019
17,,"Y22,Y31",200123,,,209.66,LV,EE,,"R4,R5",Lithuania,2019
18,,"Y22,Y31",200135,,,1.588,LV,EE,,"R4,R5",Lithuania,2019
19,,"Y22,Y31",200123,,,952.083,LV,EE,,"R12,R4,R5",Lithuania,2019
20,,"Y22,Y31",200135,,,17.158,LV,EE,,"R12,R4,R5",Lithuania,2019
21,,"Y22,Y31",200123,,,151.757,LV,EE,,"R12,R5,R4,R3",Lithuania,2019
22,,"Y22,Y31",200135,,,2.443,LV,EE,,"R12,R5,R4,R3",Lithuania,2019
23,,,20104,"Farm plastic waste 55 proc organic, 35 proc water, 10 proc inorganic",H_,811.31,NL,IE,,R3,Lithuania,2019
24,A2030,,160807,,,3.7621,LV,GE,,R13,Lithuania,2019
25,A2030,,160807,,,4.1055,LV,GE,,R13,Lithuania,2019
26,A2030,,160807,,,3.099,LV,GE,,R13,Lithuania,2019
27,A2030,,160807,,,7.8985,LV,GE,,R13,Lithuania,2019
28,A2030,,160807,,,4.5955,LV,GE,,R13,Lithuania,2019
29,A2030,,160807,,,2.822,LV,GE,,R13,Lithuania,2019
30,A2030,,160807,,,15.513,LV,GE,,R13,Lithuania,2019
31,A2030,,160807,,,0.72978,LV,GE,,R13,Lithuania,2019
32,,Y36,160807,,,0.342,LV,GE,,R13,Lithuania,2019
33,,Y36,160807,,,2.4185,LV,GE,,R13,Lithuania,2019
34,A2030,,160807,,,9.83,LV,GE,,R13,Lithuania,2019
35,A2030,,160807,,,4.505,LV,GE,,R13,Lithuania,2019
36,A2030,,160807,,,5.6305,LV,GE,,R13,Lithuania,2019
37,,Y22,20108,,,20.639,"FI,EE,LV",NO,,R12,Lithuania,2019
38,,Y22,20108,,,99.519,"SE,EE,LV",NO,,R12,Lithuania,2019
39,,Y22,20108,,,80.905,"SE,LV",NO,,R12,Lithuania,2019
40,,Y22,20108,,,308.01,SE,NO,,R12,Lithuania,2019
41,,Y22,20108,,,39.564,"FI,EE,LV",NO,,R12,Lithuania,2019
42,,,200139,Thermoplastic/Mixed plastic with PVC,H_,274.63,,DK,,R12,Lithuania,2019
43,Y46,,200139,,,16.86,,NO,,R12,Lithuania,2019
44,Y46,,200139,,,1362.21,"SE,LV",NO,,R12,Lithuania,2019
45,Y46,,200139,,,2634.3,"SE,LV",NO,,R12,Lithuania,2019
46,,Y9,130208,,,945.98,,LV,,R9,Lithuania,2019
47,,Y31,160601,,,25.756,LV,FI,,R12,Lithuania,2019
48,,Y31,160601,,,529.917,,LV,,"R12,R13",Lithuania,2019
49,,Y31,160601,,,99.706,,LV,,"R12,R13",Lithuania,2019
50,,Y31,160601,,,115.359,,LV,,"R12,R3",Lithuania,2019
51,,Y31,160601,,,109.878,,LV,,R12,Lithuania,2019
52,,Y31,160601,,,90.579,,LV,,R12,Lithuania,2019
53,,Y31,160601,,,161.051,,LV,,"R12,R3",Lithuania,2019
54,,Y31,160601,,,1627.051,,LV,,"R12,R3",Lithuania,2019
55,,Y31,160601,,,231.499,,LV,,"R12,R4,R5",Lithuania,2019
56,,Y31,160601,,,141.063,,LV,,"R12,R13",Lithuania,2019
57,,Y31,160601,,,22.045,"SE,LV",NO,,"R12,R13",Lithuania,2019
58,,"Y31,Y34",160601,,,47.6,,SE,,"R12,R3",Lithuania,2019
59,,"Y31,Y34",160601,,,45.142,,SE,,"R12,R13",Lithuania,2019
