,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A2030,,160807,catalyseurs usés contaminés par des substances dangereuses,H11,307,BE,NL,,R8,Luxembourg,2019
1,A3140,Y42,190208,déchets combustibles liquides contenant des substances dangereuses,,8578,,BE,,R1,Luxembourg,2019
2,A3140,Y42,190208,déchets combustibles liquides contenant des substances dangereuses,H3,4868,,BE,,R1,Luxembourg,2019
3,A2030,Y22,160802,catalyseurs usés contenant des métaux ou composés de métaux de transition dangereux,H4.2,421,BE,DE,,R5,Luxembourg,2019
4,A3020,Y8,120107,huiles d'usinage à base minérale sans halogènes (pas sous forme d'émulsions ou de solutions),H12,8,,BE,,R12,Luxembourg,2019
5,A3140,Y6,190208,déchets combustibles liquides contenant des substances dangereuses,H3,7490,,DE,,R1,Luxembourg,2019
6,A4060,Y9,120109,émulsions et solutions d'usinage sans halogènes,H12,108,,BE,D9,,Luxembourg,2019
7,A2030,Y24,160802,catalyseurs usés contenant des métaux ou composés de métaux de transition dangereux,H4.2,862,FR,BE,,R5,Luxembourg,2019
8,A2030,Y22,160802,catalyseurs usés contenant des métaux ou composés de métaux de transition dangereux,H4.2,70,,DE,,R5,Luxembourg,2019
9,A4060,Y9,130502,boues provenant de séparateurs eau/hydrocarbures,H12,65,,BE,,R12,Luxembourg,2019
