,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A2030,Y18,160802*,Catalizadores agotados,"H11,H13",152.8,,FR,,"R8,R4",Spain,2019
1,A4020,Y1,"180103*, 180202*",Biosanitarios,H6.2,33.05,,PT,D9,,Spain,2019
2,A4010,Y23,100207*,Residuos sólidos del tratamiento de gases que contienen sustancias peligrosas,H12,404.3,,IT,,R4,Spain,2019
3,A1130,Y18,160802*,Catalizadores agotados,"H4.2,H5.1,H11",447.38,,FR,,"R8,R4",Spain,2019
4,,,190117*,Fondo del fraccionador de pirólisis de residuos plásticos,H3,5.0,FR,DE,,R3,Spain,2019
5,A4020,Y1,"180103*, 180202*",Biosanitarios,H6.2,176.206,,PT,D9,,Spain,2019
6,A4020,Y3,"180108*, 180207*",Citostáticos,H6.1,108.86,,PT,D10,,Spain,2019
7,A4010,Y23,100207*,Residuos sólidos del tratamiento de gases que contienen sustancias peligrosas,H12,589.82,,IT,,R4,Spain,2019
8,A2030,Y23,160802*,Catalizadores agotados,"H11,H13",592.08,,FR,,"R4,R8",Spain,2019
9,,,060404*,Residuos que continen mercurio,H_,33.435,,CH,,R4,Spain,2019
10,,,060702*,Carbón activo procedente de la producción de cloro,H_,8.82,,CH,,R7,Spain,2019
11,,,140601*,"Clorofluorocarbonados, hcfc,hfc",H_,24.12,,FR,D10,,Spain,2019
12,,,191211*,Otros residuos (incluídas mezclas de materiales) procedentes del tratamiento mecánico de residuos que contienen sustancias peligrosas,H_,22.46,,DE,D12,,Spain,2019
13,,,191307*,"Residuos líquidos acuosos y concentrados acuosos, procedentes de la recuperación de aguas subterraneas, que contienen sustancias peligrosas",H_,4.16,,FR,D10,,Spain,2019
14,A1020,Y10,110202*,"Sludges from zinc hydrometallurgy (including jarosite, goethite)",H12,119.62,FR,BE,D10,R4,Spain,2019
15,A2030,,160807*,Catalizadores usados contaminados con sustancias peligrosas,,0.6,FR,GB,,R8,Spain,2019
16,A1020,Y31,100405*,Oxides of pb and ag,H12,52.66,,GB,,R4,Spain,2019
17,A3180,Y10,"160209*, 130301*, 150202*",Transformers and capacitors containing pcbs,H12,77.82,,FR,D10,,Spain,2019
18,A4060,Y9,130703*,Other fuels (including mixtures),,22070.06,,PT,,R9,Spain,2019
19,A2030,,160807*,Spent catalysts contaminated with hazardous substances,,107.35,,FR,,R8,Spain,2019
20,A4020,Y3,"180108*, 180207*, 180109*",Cytotoxic and cytostatic medicines,,106.25,,PT,D10,,Spain,2019
21,B1080,,100505*,Polvo de zinc,H4.3,24.14,FR,BE,,R4,Spain,2019
22,A4010,Y3,160504*,Lista ambar,H12,21.1,FR,GB,,R3,Spain,2019
23,A4010,Y2,140601*,Lista ambar,,55.16,FR,GB,,R3,Spain,2019
24,A4130,Y36,150111*,Lista ambar,H11,79.62,FR,DE,,R4,Spain,2019
25,,,070699; 070608*,Otros residuos de industria cosmética no listados; residuos de reacción y destilación de industria cosmética.,H3,23.0,,FR,,R5,Spain,2019
26,A1170,Y26,160602*,Baterías de niquel-cadmio,H12,138.0,"FR,DE",CZ,,R12,Spain,2019
27,A1170,Y26,160602*,Baterías de niquel-cadmio,H12,22.4,,FR,,R4,Spain,2019
28,A2030,Y2,160802*,Catalitzadors,,18.512,FR,DE,,R4,Spain,2019
29,A4070,Y12,160305*,Residus orgànics que contenen substàncies perilloses,,92.572,"BE,FR,LU",NL,,R12,Spain,2019
30,A4160,Y18,150202*,Carbó actiu,,1022.284,FR,BE,,R7,Spain,2019
31,A1050,,110109*,Llots i tortons de filtració que contenen sustàncies perilloses,,276.689,FR,DE,,R4,Spain,2019
32,A1060,,110106*,Acids amb metalls,,17.82,FR,DE,,R4,Spain,2019
33,A4130,Y36,150111*,Acetilè,,61.63,"FR,LU",DE,,R2,Spain,2019
34,A3140,Y42,070704*,Dissolvents no halogenats,,574.18,,FR,,R2,Spain,2019
35,,,110109*,Llots i tortons de filtracio amb substancies perilloses,H_,170.32,"FR,DE",PL,,R4,Spain,2019
