,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A3020,Y8,1522009900,Soapstock,H4.1,79,,RU,,R2,Uzbekistan,2019
1,,Y8,1522009900,Soapstock,H4.1,46,,AF,,R2,Uzbekistan,2019
2,,Y8,1522009900,Soapstock,H4.1,23,,KG,,R2,Uzbekistan,2019
3,,Y45,401220000,used pneumatic tires,,97,,RU,,R5,Uzbekistan,2019
4,,Y45,401220000,Used Pneumatic tires,,4,,CN,,R5,Uzbekistan,2019
5,,Y45,401220000,Used Pneumatic tires,,56,,PL,,R5,Uzbekistan,2019
6,,Y45,401220000,Used Pneumatic tires,,1650,,IR,,R5,Uzbekistan,2019
7,,Y45,401220000,Used Pneumatic tires,,7,,LV,,R5,Uzbekistan,2019
8,,Y45,401220000,Used Pneumatic tires,,22019,,DE,,R5,Uzbekistan,2019
9,,Y45,401220000,Used Pneumatic tires,,1521,,AE,,R5,Uzbekistan,2019
10,,Y45,401220000,Used Pneumatic tires,,5958,,KR,,R5,Uzbekistan,2019
11,,Y45,401220000,Used Pneumatic tires,,8521,,JP,,R5,Uzbekistan,2019
12,B1200,Y18,2618 00 000 0,Granulated slag,,136,,RU,,R5,Uzbekistan,2019
13,B1200,Y18,2618 00 000 0,Granulated slag,,23,,IN,,R5,Uzbekistan,2019
14,B1200,Y18,2618 00 000 0,Granulated slag,,235,,CN,,R5,Uzbekistan,2019
15,A2050,Y36,2524900000,CHRYSOTYL ASBESTOS,,11235,,RU,,R3,Uzbekistan,2019
16,A2050,Y36,2524900000,CHRYSOTYL ASBESTOS,,74439,,KZ,,R3,Uzbekistan,2019
