,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A4060,Y9,A4060,Oily water,H12,1500.0,SB,PG,"D5,D7,D9",R3,Australia,2020
1,A4020,Y1,R130,cytotoxic waste ,,150.0,,NZ,D10,,Australia,2020
2,A4020,Y1,R100,Cytotoxic contamianted solid waste,,200.0,,NZ,D10,,Australia,2020
3,A3020,Y8,J100,Waste oil,"H3,H11,H12",1000.0,,PG,"D5,D9","R1,R13",Australia,2020
4,A1180,"Y22,Y23,Y31,Y45",A1180,"Electronic equipment including laptops, desktops, TV etc","H11,H12,H13",500.0,,FR,,"R4,R13",Australia,2020
5,A4050,"Y32,Y33",A4050,Spent potlining and other amluminium smelter waste contaminated with cyanide and leachable fluorides,H4.3,1000.0,"AE,SG",BH,,R5,Australia,2020
6,A1180,"Y22,Y23,Y31,Y45",A1180,e-waste,"H12,H13",500.0,,FR,,"R4,R13",Australia,2020
7,A3140,"Y4,Y5,Y40,Y42",G110,non-halogenated organic solvent,"H3,H8,H11,H12",250.0,SB,PG,"D5,D9","R1,R13",Australia,2020
8,"A2060,Y47",,A2060,fly ash,"H8,H12,H13",0.2,,DE,D1,,Australia,2020
9,A1170,"Y35,Y42",A1170,Spent lithium ion batteries,"H8,H10,H13",27.0,,PH,,R4,Australia,2020
