,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1160,"Y31,Y34",160601*,Used lead-acid batteries,H8,2000,PA,JM,,R4,Costa Rica,2020
1,A1160,"Y31,Y34",160601*,Used lead-acid batteries,"H8,H11",3000,,NI,,R4,Costa Rica,2020
2,A1160,"Y31,Y34",160601*,Used lead-acid batteries,H8,1200,PA,JM,,R4,Costa Rica,2020
3,A1160,"Y31,Y34",160601*,Used lead-acid batteries,"H8,H11",4800,,NI,,R4,Costa Rica,2020
4,A1160,"Y31,Y34",160601*,Used lead-acid batteries,"H8,H11",2400,,NI,,R4,Costa Rica,2020
5,A1160,Y31,160601*,Used lead-acid batteries,H11,2600,,PA,,R4,Costa Rica,2020
6,A1160,"Y31,Y34",160601*,Used lead-acid batteries,"H8,H11",3500,,NI,,R4,Costa Rica,2020
7,A1160,Y31,160601*,Used lead-acid batteries,H11,2400,,NL,,R4,Costa Rica,2020
8,A1160,"Y31,Y34",160601*,Used lead-acid batteries,H11,2000,PA,JM,,R4,Costa Rica,2020
9,A1160,"Y31,Y34",160601*,Used lead-acid batteries,H11,2000,PA,JM,,R4,Costa Rica,2020
