,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1160,Y31,16 06 01*,Lead acid batteries,,3077.734,,LV,,R4,Estonia,2020
1,A1160,Y31,16 06 01*,Lead acid batteries,,1319.454,LV,LT,,R4,Estonia,2020
2,A1160,Y31,16 06 01*,Lead acid batteries,,2485.42,,SE,,R4,Estonia,2020
3,A1160,Y31,16 06 01*,Lead acid batteries,,7172.27,,FI,,R4,Estonia,2020
4,A3150,"Y6,Y45",07 07 03*,Organic containing solvents,,58.64,,LV,,R1,Estonia,2020
5,A4070,Y12,08 01 11*,Organic solvents ,,60.252,,LV,,"R1,R12",Estonia,2020
6,A4060,Y9,13 04 02*,Waste containing oil,,50.0,,FI,,R3,Estonia,2020
7,A4060,Y9,13 05 06*,Waste containing oil,,1375.0,,LV,,R3,Estonia,2020
8,A4060,Y9,13 05 07*,Waste containing oil,,125.0,,LV,,R3,Estonia,2020
9,A3020,Y9,"13, 07 01*, 13 07 02*",Waste fuel,,14.26,,LV,,R3,Estonia,2020
10,A3020,Y9,13 08 02*,Waste emulsions,,135.8,,LV,,R3,Estonia,2020
11,A3020,Y9,19 02 08*,Waste containing oil,,2621.62,,FI,,R1,Estonia,2020
12,A4060,Y9,16 07 08*,Waste containing oil,,505.28,,SE,,R3,Estonia,2020
13,A4060,Y9,16 07 08*,Waste containing oil,,123.0,,LV,,R3,Estonia,2020
14,A4130,Y12,15 01 11*,Packaging containing hazardous substances,,5.0,LV,LT,D10,,Estonia,2020
15,A3180,Y10,"16 02 09*, 13 03 01*",PCB waste,,9.357,,LV,D10,,Estonia,2020
16,A3180,Y2,16 03 05*,Organic waste containing hazardous substances,,40.54,,LV,,"R12,R1",Estonia,2020
17,A4140,"Y2,Y14","16 05 06*, 18 01 06*",Chemicals ,,28.6,,LV,,"R12,R1",Estonia,2020
18,A1180,Y29,20 01 35*,WEEE,,167.44,,SE,,R12,Estonia,2020
19,A1180,Y29,20 01 35*,WEEE,,452.33,,FI,,R12,Estonia,2020
20,Y46,,20 03 01,Mixed municipal waste,,33086.4,,FI,,R1,Estonia,2020
21,,"Y2,Y14",19 12 11* ,Waste containing hazardous substances,,20.1,,LV,,"R12,R1",Estonia,2020
22,Y46,,19 12 10,RDF,,5904.44,,FI,,R1,Estonia,2020
23,Y46,,19 12 12,Waste form mechanical treatment of waste,,402.18,,LV,,R12,Estonia,2020
