,annex_2_8_9,annex_1,national_code,type_of_waste,annex_3,amount,countries_of_transit ,country_of_origin,annex_4_a,annex_4_b,country,year
0,,,12 01 14*,1/1b,H11,18.945,DE,AT,,R4,France,2020
1,,,"03 01 01,03 01 05,15 01 03,17 02 01,19 12 07",1/1b,H_,3597.89,,BE,,"R1,R3,R12",France,2020
2,,,"03 01 05,15 01 03,17 02 01,20 01 38",1/1b,H_,3387.594,,BE,,R1,France,2020
3,,,03 03 05,1/1b,H_,797.692,,BE,,"R1,R5",France,2020
4,,,03 03 05,1/1b,H_,587.74,,BE,,"R1,R5",France,2020
5,,,03 03 05,1/1b,H_,2036.26,,BE,,R3,France,2020
6,,,03 03 05,1/1b,H_,316.52,,BE,,R5,France,2020
7,,,03 03 05,1/1b,H_,9981.72,,BE,,R5,France,2020
8,,,03 03 05,1/1b,H_,97.46,,BE,,R5,France,2020
9,,,"07 02 01*,07 03 01*,07 06 01*,07 07 01*,16 07 09*,16 10 01*",1/1b,H12,92.68,,BE,D9,,France,2020
10,,,"07 02 01*,07 03 01*,07 06 01*,07 07 01*,16 07 09*,16 10 01*,16 10 02",1/1b,H12,391.84,,BE,D9,,France,2020
11,,,07 06 01*,1/1b,H_,15.46,,BE,D9,,France,2020
12,,,07 07 12,1/1b,H_,4077.17,,BE,,"R5,R12",France,2020
13,,,07 07 12,1/1b,H_,550.58,,BE,,"R5,R12",France,2020
14,,,07 07 12,1/1b,H_,85.48,,BE,D9,,France,2020
15,,,07 07 12,1/1b,H_,175.2,,BE,D9,,France,2020
16,,,10 02 11*,1/1b,H12,756.23,,BE,,R4,France,2020
17,,,10 02 11*,1/1b,H12,2079.66,,BE,,R4,France,2020
18,,,10 02 12,1/1b,H_,976.44,,BE,,R4,France,2020
19,,,10 02 12,1/1b,H_,1259.81,,BE,,R4,France,2020
20,,,10 02 14,1/1b,H_,5330.35,,BE,,R4,France,2020
21,,,10 05 03*,1/1b,H4.1,48.092,,BE,,R4,France,2020
22,,,10 05 03*,1/1b,H4.1,138.936,,BE,,R4,France,2020
23,,,10 05 03*,1/1b,H4.1,20.296,,BE,,R4,France,2020
24,,,11 01 09*,1/1b,"H11,H12",3131.936,,BE,,R4,France,2020
25,,,11 01 11*,1/1b,H_,21.76,,BE,"D6,D9",,France,2020
26,,,11 01 11*,1/1b,H_,20.58,,BE,"D6,D9",,France,2020
27,,,"13 05 07*,16 07 08*,16 07 09*,16 10 01*",1/1b,H12,668.97,,BE,D9,,France,2020
28,,,15 01 02,1/1b,H_,142.526,,BE,,"R3,R4",France,2020
29,,,15 01 02,1/1b,H_,112.656,,BE,,"R3,R4",France,2020
30,,,"15 01 03,17 02 01,19 12 07,20 01 38",1/1b,H_,569.84,,BE,,R3,France,2020
31,,,"15 01 03,17 02 01,20 01 38",1/1b,H_,10.2,,BE,,R1,France,2020
32,,,"15 01 03,17 02 01,20 01 38",1/1b,H_,1020.386,,BE,,R1,France,2020
33,,,"15 01 03,17 02 01,20 01 38",1/1b,H_,475.48,,BE,,R1,France,2020
34,,,"15 01 03,17 02 01,20 01 38",1/1b,H_,2832.55,,BE,,R1,France,2020
35,,,"15 01 03,17 02 01,20 01 38",1/1b,H_,1850.37,,BE,,"R1,R12",France,2020
36,,,15 02 02*,1/1b,H_,432.61,,BE,,"R7,R13",France,2020
