,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A1020,Y31,19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances (EWC 19 12 11*),H12,1890.66,,IT,,R4,Greece,2020
1,A1020,Y31,19 12 11*,other wastes (including mixtures of materials) from mechanical treatment of waste containing dangerous substances (EWC 19 12 11*),H12,390.62,,IT,,R4,Greece,2020
2,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,690.515,,CY,,R4,Greece,2020
3,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,208.48,,CY,,R4,Greece,2020
4,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,68.16,,BG,,R4,Greece,2020
5,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,466.5,,BG,,R4,Greece,2020
6,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,672.22,,CY,,R4,Greece,2020
7,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,629.07,,CY,,R4,Greece,2020
8,A1160,Y31,16 06 01*,lead batteries (EWC 16 06 01*),"H8,H6.1,H12",259.58,,IT,,R4,Greece,2020
9,A1160,Y31,16 06 01*,lead batteries (EWC 16 06 01*),"H8,H6.1,H12",186.03,,IT,,R4,Greece,2020
10,A1160,Y31,16 06 01*,lead acid batteries (EWC 16 06 01*),H8,91.87,,MK,,R4,Greece,2020
11,A1160,"Y31,Y34",16 06 01*,lead acid batteries (EWC 16 06 01*),H8,96.692,"CZ,SK,HU,RO,BG",DE,,R4,Greece,2020
12,A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",H12,2967.0,,DZ,,R9,Greece,2020
13,A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",H12,70.1,MK,ME,,R9,Greece,2020
14,A3020,Y8,13 02 05*,"mineral-based non-chlorinated engine, gear and lubricating oils",H8,125.4,,AL,,R9,Greece,2020
