,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,A3020,Y8,19 02 07*,"Waste Oil - Mineral based chlorinated Hydraulic oils, Mineral based chlorinated gear and lubricating oils",,229.78,,GB,,R9,Ireland,2020
1,Y46,,19 12 12,19 12 12,,544.73,,GB,,R1,Ireland,2020
2,Y46,,19 12 12,19 12 12 - MSW Screened Organics,,1085.4,,GB,,R3,Ireland,2020
3,Y46,,19 12 10,Refuse Derived Fuel,,21.52,,GB,,R1,Ireland,2020
4,A3020,Y8,"13 02 05*, 13 02 06*, 13 02 08*",Used lubricating oil,,2875.5,,GB,,R9,Ireland,2020
5,Y46,,19 12 10,SRF - 19 12 10,,943.28,,GB,,"R1,R13",Ireland,2020
6,Y46,,19 12 12,MSW Screened Organics,,2276.63,,GB,,R3,Ireland,2020
7,Y46,,19 12 10,SRF - 19 12 10,,754.92,,GB,,R1,Ireland,2020
8,Y46,,19 12 10,19 12 10,,2285.76,,GB,,R1,Ireland,2020
9,A4020,Y1,18 01 03*,Clinical Waste,,8224.178,,GB,,R1,Ireland,2020
10,Y46,,19 12 10,SRF,,108.48,,GB,,R1,Ireland,2020
11,Y46,,19 12 12,Residual waste from mechanical  sep. of solid waste and residual fraction from household comingled recycles.,,1081.46,,GB,,R1,Ireland,2020
12,A3020,Y8,"13 02 05*, 13 02 06*, 13 02 08*",Used engine lubricating oil,,2220.52,,GB,,R9,Ireland,2020
13,Y46,,19 12 10,RDF,,3218.771,,GB,,R1,Ireland,2020
14,Y46,,19 12 10,191210 - SRF - Waste after mechanical treatment,,1686.32,,GB,,R1,Ireland,2020
15,Y46,,19 12 12,MSW Screened Organics,,215.08,,GB,,R3,Ireland,2020
16,Y46,,19 12 10,191210 SRF,,399.66,,GB,,R1,Ireland,2020
17,A3020,Y8,19 02 07*,"Waste oil. Mineral based chlorinated Hydraulic oils, Mineral based chlorinated gear and lubricatiing oils",,727.16,,GB,,R9,Ireland,2020
18,Y46,,19 12 10,Solid Recovered Fuel (SRF),,87.48,,GB,,R1,Ireland,2020
19,Y46,,19 12 10,19 12 10,,50.05,,GB,,R1,Ireland,2020
