,annex_2_8_9_code,annex_1_code,national_code,type_of_waste,annex_3_code,amount,countries_of_transit ,country_of_origin,annex_4_a_code,annex_4_b_code,country,year
0,,Y45,"160211*,200123*","Discarded equipment containing chlorofluorocarbons, HCFC, HFC",H12,46.38,"HU,SK",RO,,R12,Poland,2020
1,A4100,Y23,100207*,,H6.1,14232.75,,DE,,R4,Poland,2020
2,A4100,"Y21,Y23,Y31",100207*,,"H12,H13",944.1,"AT,CZ",SI,,R4,Poland,2020
3,A1180,Y29,160213*,,,1216.846,,SE,,R12,Poland,2020
4,A3020,Y8,130208*,,H13,655.7,,LT,,R9,Poland,2020
5,A3020,Y8,130310*,,H3,19.94,,LT,,R9,Poland,2020
6,A1170,"Y26,Y36",191211*,,"H8,H12",458.624,,DE,,R4,Poland,2020
7,A1020,"Y22,Y23,Y26,Y31",110205*,,"H11,H12",330.941,DE,BE,,R4,Poland,2020
8,A4100,Y23,100207*,,H6.1,8173.17,,DE,,R4,Poland,2020
9,A4100,Y23,100207*,,H12,1019.9,,DE,,R4,Poland,2020
10,A1170,Y23,191211*,,"H6.1,H8,H12",300.22,,FI,,R4,Poland,2020
11,A1160,"Y31,Y34",160601*,,H8,2069.43,,DE,,R4,Poland,2020
12,A1020,Y31,150202*,,H12,67.14,,DE,,R4,Poland,2020
13,A4100,Y23,100207*,,H12,1473.58,CZ,AT,,R4,Poland,2020
14,A1020,Y31,100402*,,H12,92.045,,DE,,R4,Poland,2020
15,A1020,Y31,100401*,,H11,50.806,,CZ,,R4,Poland,2020
16,A4100,Y23,100207*,,H12,4274.12,,DE,,R4,Poland,2020
17,A4130,,150110*,Packaging containing residues of or contaminated by danderous substances,H12,18.79,"BG,RO,HU,SK",GR,,R1,Poland,2020
18,A3020,Y8,"130110*,130205*,130206*,130208*",,H12,3116.92,,DE,,R9,Poland,2020
19,A4100,"Y21,Y23,Y31",100207*,,"H10,H11,H12,H13",4675.16,"AT,CZ",SI,,R4,Poland,2020
20,A4100,Y23,100213*,,H12,882.41,"DE,CZ",AT,,R4,Poland,2020
21,A4100,"Y23,Y31",100207*,,"H11,H12,H13",1069.52,"AT,CZ",SI,,R4,Poland,2020
22,A1160,Y31,160601*,,H4.1,626.775,,CZ,,R4,Poland,2020
23,A4100,Y23,100207*,,"H11,H12",1644.98,,FI,,R4,Poland,2020
24,A1170,Y23,191005*,,"H8,H12",2469.56,,DE,,R4,Poland,2020
25,A1020,Y31,100402*,,H12,1154.511,DE,BE,,R4,Poland,2020
26,A4100,Y23,100213*,,H12,1901.08,,DE,,R4,Poland,2020
