"Basel Annex VIII, II or IX ",Y Code,National Code,"
Type of waste ","
Hazardous characteristics","Amount exported 
 (use dots for decimals, e.g. 20.15)","
Countries of  transit",Country of destination,"
Final disposal operation",Recovery operation,Exporting_Country
A4020,Y1,180108*,Cytotoxic and cytostatic medicines,H6.2,2.4,-,ES,D10,,Andorra
A4010,Y3,"200132,180109,180208",Expired medicines,,5.021,-,ES,"D9,D5",,Andorra
A4030,Y4,"200119*,020108*","Agrochemicals, pesticides and derivatives","H6.1,H13",0.188,-,ES,"D15,D10",,Andorra
A3020,Y8,1302XX,Mineral oils,H12,195.44,-,ES,,"R13,R9",Andorra
A3020,Y8,130307*,Transformer oils without PCB,H12,10.32,-,ES,,R9,Andorra
,Y9,190205*,sludges from physico/chemical treatment containing dangerous substances,H13,49.2,-,ES,D5,,Andorra
A4060,Y9,190207*,Oils and concentrates of Tanks,H3,75.0,-,ES,,R3,Andorra
A1180,Y10,160209*,Transformers with PCB,H11,15.2,-,ES,D10,,Andorra
A4130,Y12,150110*,contaminated packaging,H13,37.273,-,ES,"D15,D10","R13,R3,R4",Andorra
A3050,Y13,"070216*,080409*",Adhesives and silicones,"H11,H3",1.25,-,ES,"D15,D10",,Andorra
A4070,Y12,080312*,Printing inks,H3,0.386,-,ES,"D9,D15,D10",,Andorra
"A3050,A4070","Y12,Y13,Y18","200127*,080111*,080119*","Paintings, inks, adhesives and resins","H3,H11,H13",63.958,-,ES,"D9,D15,D10","R13,R12,R1",Andorra
A4140,Y16,"090101*,090102*,090103*,090104*,090105*",Photographic waste,"H3,H11,H13",2.902,-,ES,"D9,D10",,Andorra
,Y16,90107.090108000004,photolits,H13,6.32,-,ES,"D15,D5",R13,Andorra
A1010,Y17,120117,Abrasive materials,,0.716,-,ES,"D15,D5",,Andorra
A4140,Y18,200129*,Detergents,"H8,H13",3.738,-,ES,"D9,D5",,Andorra
A4140,Y18,150202*,Absorbents and filtration materials,H13,26.903,-,ES,"D15,D10","R13,R3",Andorra
,Y18,"170503*,170504",Contaminated land,H13,72.6,-,ES,D5,,Andorra
A4110,Y18,161105*,Waste of refractory material,H12,17.48,-,ES,D5,,Andorra
A1180,Y29,200121*,Fluorescent tubes and tubes,H12,8.41,-,ES,D5,"R12,R5,R4",Andorra
A1030,Y29,200133*,Batteries,H12,7.936,-,ES,,"R12,R4",Andorra
A1160,Y31,160601*,Batteries,H8,224.624,-,ES,D9,"R13,R4,R6",Andorra
A4090,Y34,"200114*,060101*,060102*,060103*,060104*,060105*,060106*",Acids and acidic aqueous solutions,"H8,H13",0.674,-,ES,"D9,D5",,Andorra
A4140,"Y18,Y34","160506*,160507*,160509",Reactive laboratories ,"H8,H11,H13",3.747,-,ES,"D9,D15,D10",,Andorra
A2050,Y36,"160111*,170601*,170605*",Asbests,H11,29.753,-,ES,D5,,Andorra
A3150,Y41,"140602*,140604*,200113*",Halogenated solvents,"H3,H13",0.69,-,ES,"D15,D10","R13,R2",Andorra
A3140,Y42,"140603*,200113*,140605*",Non-halogenated solvents and other similar waste,"H3,H13",8.606,-,ES,"D15,D10","R13,R2",Andorra
A3140,Y42,160113*,Brake fluids,H13,3.587,-,ES,"D15,D10",,Andorra
A3140,Y42,160114*,Hazardous antifreeze,H13,11.757,-,ES,"D15,D10",,Andorra
A1180,"Y45,Y21",200123*,Refrigerators,H13,176.759,-,ES,"D15,D10","R12,R3,R4,R5,R9,R1",Andorra
A4140,Y45,140601*,"Coolant gases (chlorofluorocarbons, HCFC, HFC)",H13,1.916,-,ES,,"R13,R4,R3,R1",Andorra
A4130,"Y12,Y18,Y35,Y45","160504*,150111*",Aerosols and gases in pressure containers,H3,40.192,-,ES,,"R13,R4,R3,R1",Andorra
A1180,"Y20,Y22,Y25,Y27,Y29,Y31,Y45",200135*,WEEE,H12,63.52,-,ES,,"R12,R4",Andorra
A1010,Y29,180110*,amalgam waste from dental care,"H6.1,H11,H13",0.002,-,ES,,R13,Andorra
A4140,Y18,120112*,spent waxes and fats,H13,0.242,-,ES,"D15,D10","R13,R12,R1",Andorra
Y47,,190113*,Ashes,H12,1193.77,-,ES,D5,,Andorra
Y47,,190113*,Ashes,H12,220.91,-,FR,D5,,Andorra
A3180,Y10,Y10 and Y48/Y10,PCBs,"H11,H12",52.347,,FR,D10,R4,Argentina
A1180,"Y20,Y21,Y22,Y23,Y25,Y26,Y29,Y31","Y48/Y21, Y48/Y22, Y48/Y23, Y48/Y25, Y48/Y26, Y48/Y29, Y48/Y31",E-waste: printed circuit boards.,"H11,H12",32.65,,BE,,R4,Argentina
A1160,Y31,92110100 13 01 2,"Waste lead-acid batteries, whole or crushed","H11,H6.1",2700.0,,IR,,R4,Armenia
A4100,Y23,A4100,Electric Arc furnace dust,"H11,H12,H13",30000.0,JP,KR,,R4,Australia
A1170,"Y15,Y34,Y35",A1170,Used lithium ion batteries,"H8,H10,H13",10.0,"NZ,US",CA,,R4,Australia
A1180,"Y15,Y34,Y35",A1180,Used lithium ion batteries in equipment,"H8,H10,H13",5.0,"NZ,US",CA,,R4,Australia
